"gene_id" "locusName" "Description" "colors"
"Manes.14G046600.v8.1" "Manes.14G046600" "(1 of 4) K00654 - serine palmitoyltransferase (SPT)" "turquoise"
"Manes.14G047000.v8.1" "Manes.14G047000" NA "turquoise"
"Manes.14G047400.v8.1" "Manes.14G047400" NA "turquoise"
"Manes.14G048000.v8.1" "Manes.14G048000" "(1 of 2) PTHR13169:SF3 - MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 3" "turquoise"
"Manes.14G048600.v8.1" "Manes.14G048600" NA "turquoise"
"Manes.14G049200.v8.1" "Manes.14G049200" "(1 of 2) PTHR22814:SF13 - FARNESYLATED PROTEIN 3-RELATED" "turquoise"
"Manes.14G049700.v8.1" "Manes.14G049700" NA "turquoise"
"Manes.14G051101.v8.1" "Manes.14G051101" NA "turquoise"
"Manes.14G051600.v8.1" "Manes.14G051600" NA "turquoise"
"Manes.14G051700.v8.1" "Manes.14G051700" NA "turquoise"
"Manes.14G052300.v8.1" "Manes.14G052300" "(1 of 3) PTHR23074//PTHR23074:SF84 - AAA ATPASE // AAA-TYPE ATPASE-LIKE PROTEIN-RELATED" "turquoise"
"Manes.14G052700.v8.1" "Manes.14G052700" "(1 of 2) 3.5.2.6 - Beta-lactamase / Penicillinase" "turquoise"
"Manes.14G052800.v8.1" "Manes.14G052800" NA "turquoise"
"Manes.14G053700.v8.1" "Manes.14G053700" "(1 of 2) PTHR14154//PTHR14154:SF16 - UPF0041 BRAIN PROTEIN 44-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G055300.v8.1" "Manes.14G055300" "(1 of 2) K07739 - elongator complex protein 3 [EC:2.3.1.48] (ELP3, KAT9)" "turquoise"
"Manes.14G055900.v8.1" "Manes.14G055900" "(1 of 2) PTHR10694:SF38 - LYSINE-SPECIFIC DEMETHYLASE REF6" "turquoise"
"Manes.14G057300.v8.1" "Manes.14G057300" NA "turquoise"
"Manes.14G059300.v8.1" "Manes.14G059300" "(1 of 366) PF00067 - Cytochrome P450 (p450)" "turquoise"
"Manes.14G059700.v8.1" "Manes.14G059700" "(1 of 2) 2.5.1.72 - Quinolinate synthase / Quinolinate synthetase" "turquoise"
"Manes.14G059900.v8.1" "Manes.14G059900" NA "turquoise"
"Manes.14G060000.v8.1" "Manes.14G060000" "(1 of 2) K02884 - large subunit ribosomal protein L19 (RP-L19, MRPL19, rplS)" "turquoise"
"Manes.14G060500.v8.1" "Manes.14G060500" NA "turquoise"
"Manes.14G061200.v8.1" "Manes.14G061200" "(1 of 1) PTHR27007:SF30 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE S.1" "turquoise"
"Manes.14G061600.v8.1" "Manes.14G061600" "(1 of 1) PTHR23315//PTHR23315:SF130 - BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G061700.v8.1" "Manes.14G061700" NA "turquoise"
"Manes.14G061800.v8.1" "Manes.14G061800" "(1 of 1) PTHR10625:SF109 - HISTONE DEACETYLASE 2" "turquoise"
"Manes.14G061900.v8.1" "Manes.14G061900" NA "turquoise"
"Manes.14G062800.v8.1" "Manes.14G062800" "(1 of 1) PTHR24320//PTHR24320:SF100//PTHR24320:SF81 - FAMILY NOT NAMED // SUBFAMILY NOT NAMED // NAD(P)-BINDING ROSSMANN-FOLD SUPERFAMILY PROTEIN" "turquoise"
"Manes.14G062950.v8.1" "Manes.14G062950" NA "turquoise"
"Manes.14G063800.v8.1" "Manes.14G063800" NA "turquoise"
"Manes.14G064300.v8.1" "Manes.14G064300" "(1 of 1) K14559 - U3 small nucleolar RNA-associated protein MPP10 (MPP10)" "turquoise"
"Manes.14G064800.v8.1" "Manes.14G064800" "(1 of 2) PTHR11132:SF70 - PHOSPHOENOLPYRUVATE/PHOSPHATE TRANSLOCATOR 1, CHLOROPLASTIC" "turquoise"
"Manes.14G066600.v8.1" "Manes.14G066600" NA "turquoise"
"Manes.14G066700.v8.1" "Manes.14G066700" "(1 of 2) K16284 - E3 ubiquitin-protein ligase SIS3 [EC:6.3.2.19] (SIS3)" "turquoise"
"Manes.14G068900.v8.1" "Manes.14G068900" "(1 of 4) PTHR15141//PTHR15141:SF52 - TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 3 // BAH AND TFIIS DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.14G069400.v8.1" "Manes.14G069400" "(1 of 10) K09377 - cysteine and glycine-rich protein (CSRP)" "turquoise"
"Manes.14G072300.v8.1" "Manes.14G072300" "(1 of 1) PTHR11668//PTHR11668:SF268 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G073400.v8.1" "Manes.14G073400" "(1 of 2) K12866 - WW domain-binding protein 11 (WBP11, NPWBP)" "turquoise"
"Manes.14G073800.v8.1" "Manes.14G073800" "(1 of 1) PTHR24349//PTHR24349:SF167 - SERINE/THREONINE-PROTEIN KINASE // CALCIUM-DEPENDENT PROTEIN KINASE 10-RELATED" "turquoise"
"Manes.14G075900.v8.1" "Manes.14G075900" NA "turquoise"
"Manes.14G078500.v8.1" "Manes.14G078500" "(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G078800.v8.1" "Manes.14G078800" "(1 of 2) PTHR22835//PTHR22835:SF267 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G079800.v8.1" "Manes.14G079800" "(1 of 2) K08910 - light-harvesting complex I chlorophyll a/b binding protein 4 (LHCA4)" "turquoise"
"Manes.14G080700.v8.1" "Manes.14G080700" NA "turquoise"
"Manes.14G080801.v8.1" "Manes.14G080801" "(1 of 1) K09579 - peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8] (PIN4)" "turquoise"
"Manes.14G081100.v8.1" "Manes.14G081100" "(1 of 270) PF13639 - Ring finger domain (zf-RING_2)" "turquoise"
"Manes.14G081500.v8.1" "Manes.14G081500" "(1 of 2) K12127 - pseudo-response regulator 1 (TOC1, APRR1)" "turquoise"
"Manes.14G081600.v8.1" "Manes.14G081600" "(1 of 5) K08493 - vesicle transport through interaction with t-SNAREs 1 (VTI1)" "turquoise"
"Manes.14G083800.v8.1" "Manes.14G083800" "(1 of 3) PTHR19305:SF7 - SNAP25 HOMOLOGOUS PROTEIN SNAP30-RELATED" "turquoise"
"Manes.14G084900.v8.1" "Manes.14G084900" "(1 of 1) PTHR23146//PTHR23146:SF0 - LEO1 PROTEIN // RNA POLYMERASE-ASSOCIATED PROTEIN LEO1" "turquoise"
"Manes.14G086800.v8.1" "Manes.14G086800" "(1 of 10) PF01805 - Surp module (Surp)" "turquoise"
"Manes.14G086900.v8.1" "Manes.14G086900" NA "turquoise"
"Manes.14G087800.v8.1" "Manes.14G087800" "(1 of 3) PTHR31673//PTHR31673:SF2 - FAMILY NOT NAMED // COBRA-LIKE PROTEIN 4" "turquoise"
"Manes.14G088200.v8.1" "Manes.14G088200" "(1 of 1) PTHR31251:SF22 - SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 15-RELATED" "turquoise"
"Manes.14G088800.v8.1" "Manes.14G088800" NA "turquoise"
"Manes.14G089400.v8.1" "Manes.14G089400" NA "turquoise"
"Manes.14G089600.v8.1" "Manes.14G089600" "(1 of 2) PTHR12565:SF153 - TRANSCRIPTION FACTOR BIM1" "turquoise"
"Manes.14G090800.v8.1" "Manes.14G090800" "(1 of 1) PTHR23359//PTHR23359:SF95 - NUCLEOTIDE KINASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G091100.v8.1" "Manes.14G091100" NA "turquoise"
"Manes.14G092500.v8.1" "Manes.14G092500" "(1 of 1) 2.2.1.9 - 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase / SEPHCHC synthase" "turquoise"
"Manes.14G092600.v8.1" "Manes.14G092600" "(1 of 3) PTHR22952//PTHR22952:SF133 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G092800.v8.1" "Manes.14G092800" "(1 of 1) PTHR11353:SF81 - CHAPERONIN 60 SUBUNIT BETA 4, CHLOROPLASTIC" "turquoise"
"Manes.14G093500.v8.1" "Manes.14G093500" "(1 of 3) PTHR10285:SF76 - URIDINE KINASE" "turquoise"
"Manes.14G093700.v8.1" "Manes.14G093700" "(1 of 2) PF00646//PF07723//PF08387 - F-box domain (F-box) // Leucine Rich Repeat (LRR_2) // FBD (FBD)" "turquoise"
"Manes.14G094000.v8.1" "Manes.14G094000" "(1 of 3) PTHR11570:SF4 - S-ADENOSYLMETHIONINE DECARBOXYLASE PROENZYME-RELATED" "turquoise"
"Manes.14G095300.v8.1" "Manes.14G095300" "(1 of 1) PTHR24092//PTHR24092:SF41 - FAMILY NOT NAMED // PHOSPHOLIPID-TRANSPORTING ATPASE 10-RELATED" "turquoise"
"Manes.14G096000.v8.1" "Manes.14G096000" NA "turquoise"
"Manes.14G097200.v8.1" "Manes.14G097200" "(1 of 2) PTHR10044//PTHR10044:SF122 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G097300.v8.1" "Manes.14G097300" "(1 of 2) 1.17.1.3 - Leucoanthocyanidin reductase / Leucocyanidin reductase" "turquoise"
"Manes.14G098100.v8.1" "Manes.14G098100" "(1 of 1) PTHR10804:SF68 - METHIONINE AMINOPEPTIDASE 1B, CHLOROPLASTIC" "turquoise"
"Manes.14G098600.v8.1" "Manes.14G098600" NA "turquoise"
"Manes.14G099600.v8.1" "Manes.14G099600" NA "turquoise"
"Manes.14G100300.v8.1" "Manes.14G100300" "(1 of 1) K08827 - serine/threonine-protein kinase PRP4 [EC:2.7.11.1] (PRPF4B)" "turquoise"
"Manes.14G100700.v8.1" "Manes.14G100700" "(1 of 1) PTHR31917//PTHR31917:SF9 - FAMILY NOT NAMED // AGENET DOMAIN-CONTAINING PROTEIN / BROMO-ADJACENT HOMOLOGY (BAH) DOMAIN-CONTAINING PROTEIN" "turquoise"
"Manes.14G101700.v8.1" "Manes.14G101700" "(1 of 3) 3.2.1.177//3.2.1.37//3.2.1.55 - Alpha-D-xyloside xylohydrolase / Alpha-xylosidase // Xylan 1,4-beta-xylosidase / Xylobiase // Non-reducing end alpha-L-arabinofuranosidase / Arabinosidase" "turquoise"
"Manes.14G102100.v8.1" "Manes.14G102100" "(1 of 1) PTHR31561:SF5 - 3-KETOACYL-COA SYNTHASE 5-RELATED" "turquoise"
"Manes.14G103300.v8.1" "Manes.14G103300" "(1 of 2) PTHR11088:SF27 - ADENYLATE ISOPENTENYLTRANSFERASE 1, CHLOROPLASTIC-RELATED" "turquoise"
"Manes.14G104300.v8.1" "Manes.14G104300" "(1 of 2) 6.1.1.18 - Glutamine--tRNA ligase / Glutaminyl-tRNA synthetase" "turquoise"
"Manes.14G104600.v8.1" "Manes.14G104600" NA "turquoise"
"Manes.14G104900.v8.1" "Manes.14G104900" "" "turquoise"
"Manes.14G105850.v8.1" "Manes.14G105850" NA "turquoise"
"Manes.14G106500.v8.1" "Manes.14G106500" NA "turquoise"
"Manes.14G106900.v8.1" "Manes.14G106900" "(1 of 1) K01598 - phosphopantothenoylcysteine decarboxylase (PPCDC, coaC)" "turquoise"
"Manes.14G107600.v8.1" "Manes.14G107600" NA "turquoise"
"Manes.14G108000.v8.1" "Manes.14G108000" "(1 of 2) PTHR11785:SF367 - AMINO-ACID PERMEASE BAT1" "turquoise"
"Manes.14G108600.v8.1" "Manes.14G108600" "(1 of 5) K16282 - E3 ubiquitin-protein ligase RHA2 [EC:6.3.2.19] (RHA2)" "turquoise"
"Manes.14G109300.v8.1" "Manes.14G109300" "(1 of 2) 2.7.8.8 - CDP-diacylglycerol--serine O-phosphatidyltransferase / Phosphatidylserine synthase" "turquoise"
"Manes.14G109700.v8.1" "Manes.14G109700" "(1 of 4) PTHR11206:SF87 - MATE EFFLUX FAMILY PROTEIN-RELATED" "turquoise"
"Manes.14G110300.v8.1" "Manes.14G110300" NA "turquoise"
"Manes.14G123600.v8.1" "Manes.14G123600" NA "turquoise"
"Manes.14G124600.v8.1" "Manes.14G124600" "(1 of 3) PTHR11588//PTHR11588:SF97 - TUBULIN // TUBULIN BETA-4 CHAIN-RELATED" "turquoise"
"Manes.14G125700.v8.1" "Manes.14G125700" "(1 of 2) K17680 - twinkle protein [EC:3.6.4.12] (PEO1)" "turquoise"
"Manes.14G126700.v8.1" "Manes.14G126700" NA "turquoise"
"Manes.14G127000.v8.1" "Manes.14G127000" NA "turquoise"
"Manes.14G127400.v8.1" "Manes.14G127400" NA "turquoise"
"Manes.14G127600.v8.1" "Manes.14G127600" "(1 of 1) KOG0107//KOG4207 - Alternative splicing factor SRp20/9G8 (RRM superfamily) // Predicted splicing factor, SR protein superfamily" "turquoise"
"Manes.14G127900.v8.1" "Manes.14G127900" NA "turquoise"
"Manes.14G129528.v8.1" "Manes.14G129528" "(1 of 8) PF00564//PF07714 - PB1 domain (PB1) // Protein tyrosine kinase (Pkinase_Tyr)" "turquoise"
"Manes.14G130500.v8.1" "Manes.14G130500" "(1 of 2) K03426 - NAD+ diphosphatase (E3.6.1.22, NUDT12, nudC)" "turquoise"
"Manes.14G131500.v8.1" "Manes.14G131500" "(1 of 1) K14852 - regulator of ribosome biosynthesis (RRS1)" "turquoise"
"Manes.14G131900.v8.1" "Manes.14G131900" "(1 of 1) PTHR11654:SF85 - PROTEIN NRT1/ PTR FAMILY 6.2" "turquoise"
"Manes.14G133700.v8.1" "Manes.14G133700" "(1 of 14) PF01429 - Methyl-CpG binding domain (MBD)" "turquoise"
"Manes.14G134000.v8.1" "Manes.14G134000" "(1 of 5) PTHR33021:SF55 - BLUE COPPER PROTEIN" "turquoise"
"Manes.14G114700.v8.1" "Manes.14G114700" "(1 of 2) PTHR22951//PTHR22951:SF27 - CLATHRIN ASSEMBLY PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G117600.v8.1" "Manes.14G117600" "(1 of 2) PTHR10903//PTHR10903:SF68 - GTPASE, IMAP FAMILY MEMBER-RELATED // TRANSLOCASE OF CHLOROPLAST 90, CHLOROPLASTIC" "turquoise"
"Manes.14G119100.v8.1" "Manes.14G119100" NA "turquoise"
"Manes.14G120800.v8.1" "Manes.14G120800" NA "turquoise"
"Manes.14G121200.v8.1" "Manes.14G121200" "(1 of 7) PF07647 - SAM domain (Sterile alpha motif) (SAM_2)" "turquoise"
"Manes.14G136528.v8.1" "Manes.14G136528" NA "turquoise"
"Manes.14G137400.v8.1" "Manes.14G137400" "(1 of 9) KOG0001//KOG0005 - Ubiquitin and ubiquitin-like proteins // Ubiquitin-like protein" "turquoise"
"Manes.14G138300.v8.1" "Manes.14G138300" NA "turquoise"
"Manes.14G139500.v8.1" "Manes.14G139500" "(1 of 1) K17569 - G patch domain-containing protein 2 (GPATCH2)" "turquoise"
"Manes.14G140128.v8.1" "Manes.14G140128" "(1 of 1) PTHR14950:SF15 - DICER-LIKE PROTEIN 4" "turquoise"
"Manes.14G112000.v8.1" "Manes.14G112000" NA "turquoise"
"Manes.14G111800.v8.1" "Manes.14G111800" "(1 of 1) 3.6.3.41 - Heme-transporting ATPase" "turquoise"
"Manes.14G112400.v8.1" "Manes.14G112400" "(1 of 1) PTHR16223//PTHR16223:SF28 - FAMILY NOT NAMED // TRANSCRIPTION FACTOR BHLH66-RELATED" "turquoise"
"Manes.14G112684.v8.1" "Manes.14G112684" "(1 of 2) K10255 - omega-6 fatty acid desaturase (delta-12 desaturase) (FAD6, desA)" "turquoise"
"Manes.14G143600.v8.1" "Manes.14G143600" NA "turquoise"
"Manes.14G145000.v8.1" "Manes.14G145000" "(1 of 5) KOG1773 - Stress responsive protein" "turquoise"
"Manes.14G145200.v8.1" "Manes.14G145200" "(1 of 16) K10268 - F-box and leucine-rich repeat protein 2/20 (FBXL2_20)" "turquoise"
"Manes.14G143616.v8.1" "Manes.14G143616" NA "turquoise"
"Manes.14G112800.v8.1" "Manes.14G112800" "(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2)" "turquoise"
"Manes.14G113700.v8.1" "Manes.14G113700" "(1 of 1) K14305 - nuclear pore complex protein Nup43 (NUP43)" "turquoise"
"Manes.14G146400.v8.1" "Manes.14G146400" "(1 of 4) K02927//K08770 - large subunit ribosomal protein L40e (RP-L40e, RPL40) // ubiquitin C (UBC)" "turquoise"
"Manes.14G147600.v8.1" "Manes.14G147600" "(1 of 1) PTHR10366//PTHR10366:SF396 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G147700.v8.1" "Manes.14G147700" NA "turquoise"
"Manes.14G147000.v8.1" "Manes.14G147000" NA "turquoise"
"Manes.14G147300.v8.1" "Manes.14G147300" "(1 of 2) PTHR11638:SF94 - HEAT SHOCK PROTEIN 104" "turquoise"
"Manes.14G150100.v8.1" "Manes.14G150100" NA "turquoise"
"Manes.14G150200.v8.1" "Manes.14G150200" "(1 of 1) PTHR12169:SF6 - LACTATION ELEVATED PROTEIN 1" "turquoise"
"Manes.14G153700.v8.1" "Manes.14G153700" NA "turquoise"
"Manes.14G154900.v8.1" "Manes.14G154900" "(1 of 1) PTHR32467:SF23 - AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR AIL5" "turquoise"
"Manes.14G152700.v8.1" "Manes.14G152700" "(1 of 2) 1.1.1.183 - Geraniol dehydrogenase (NADP(+))" "turquoise"
"Manes.14G151762.v8.1" "Manes.14G151762" "(1 of 2) PTHR21736:SF13 - PROTEIN VERNALIZATION INSENSITIVE 3-RELATED" "turquoise"
"Manes.14G155500.v8.1" "Manes.14G155500" NA "turquoise"
"Manes.14G155900.v8.1" "Manes.14G155900" "(1 of 3) PTHR24413:SF124 - REGULATORY PROTEIN NPR3-RELATED" "turquoise"
"Manes.14G156601.v8.1" "Manes.14G156601" NA "turquoise"
"Manes.14G157474.v8.1" "Manes.14G157474" "(1 of 1) PTHR11178//PTHR11178:SF25 - IRON-SULFUR CLUSTER SCAFFOLD PROTEIN NFU-RELATED // NIFU-LIKE PROTEIN 3, CHLOROPLASTIC" "turquoise"
"Manes.14G158202.v8.1" "Manes.14G158202" NA "turquoise"
"Manes.14G158657.v8.1" "Manes.14G158657" "(1 of 2) PTHR21262//PTHR21262:SF12 - GUANOSINE-3',5'-BIS DIPHOSPHATE  3'-PYROPHOSPHOHYDROLASE // CA2+-ACTIVATED RELA/SPOT-LIKE PROTEIN" "turquoise"
"Manes.14G158930.v8.1" "Manes.14G158930" "(1 of 1) PTHR12725//PTHR12725:SF63 - HALOACID DEHALOGENASE-LIKE HYDROLASE // ALPHA-D-GLUCOSE-1-PHOSPHATE PHOSPHATASE YIHX" "turquoise"
"Manes.14G159300.v8.1" "Manes.14G159300" NA "turquoise"
"Manes.14G158300.v8.1" "Manes.14G158300" "(1 of 1) PTHR12628//PTHR12628:SF10 - POLYCOMB-LIKE TRANSCRIPTION FACTOR // POLYCOMB PROTEIN PCL" "turquoise"
"Manes.14G159800.v8.1" "Manes.14G159800" NA "turquoise"
"Manes.14G161700.v8.1" "Manes.14G161700" "(1 of 3) K07942 - ADP-ribosylation factor-like protein 1 (ARL1)" "turquoise"
"Manes.14G160001.v8.1" "Manes.14G160001" NA "turquoise"
"Manes.14G160600.v8.1" "Manes.14G160600" NA "turquoise"
"Manes.14G165900.v8.1" "Manes.14G165900" "(1 of 7) PTHR24177:SF42 - ANKYRIN REPEAT FAMILY PROTEIN" "turquoise"
"Manes.14G165700.v8.1" "Manes.14G165700" NA "turquoise"
"Manes.14G160300.v8.1" "Manes.14G160300" "(1 of 7) PTHR24177//PTHR24177:SF42 - FAMILY NOT NAMED // ANKYRIN REPEAT FAMILY PROTEIN" "turquoise"
"Manes.14G164000.v8.1" "Manes.14G164000" NA "turquoise"
"Manes.14G164500.v8.1" "Manes.14G164500" NA "turquoise"
"Manes.14G165300.v8.1" "Manes.14G165300" NA "turquoise"
"Manes.14G166201.v8.1" "Manes.14G166201" NA "turquoise"
"Manes.14G167000.v8.1" "Manes.14G167000" "(1 of 1) PTHR12320:SF9 - PROTEIN PHOSPHATASE 2C 62-RELATED" "turquoise"
"Manes.14G169600.v8.1" "Manes.14G169600" "(1 of 86) PTHR23155//PTHR23155:SF563 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.14G170100.v8.1" "Manes.14G170100" "(1 of 2) PTHR23257:SF466 - MAPKKK-LIKE KINASE-RELATED" "turquoise"
"Manes.14G170200.v8.1" "Manes.14G170200" "(1 of 1) PTHR10516//PTHR10516:SF308 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE // PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP17-2, CHLOROPLASTIC-RELATED" "turquoise"
"Manes.14G170400.v8.1" "Manes.14G170400" NA "turquoise"
"Manes.14G171100.v8.1" "Manes.14G171100" "(1 of 1) KOG0527 - HMG-box transcription factor" "turquoise"
"Manes.14G173000.v8.1" "Manes.14G173000" "(1 of 2) PTHR10218//PTHR10218:SF192 - GTP-BINDING PROTEIN ALPHA SUBUNIT // EXTRA-LARGE GUANINE NUCLEOTIDE-BINDING PROTEIN 3" "turquoise"
"Manes.14G174500.v8.1" "Manes.14G174500" "(1 of 6) 1.8.7.2 - Ferredoxin:thioredoxin reductase" "turquoise"
"Manes.15G004000.v8.1" "Manes.15G004000" "(1 of 1) K17601 - WD repeat-containing protein 81 (WDR81)" "turquoise"
"Manes.15G003300.v8.1" "Manes.15G003300" NA "turquoise"
"Manes.15G001500.v8.1" "Manes.15G001500" "(1 of 3) PTHR24012//PTHR24012:SF382 - FAMILY NOT NAMED // FLOWERING TIME CONTROL PROTEIN FCA-RELATED" "turquoise"
"Manes.15G000300.v8.1" "Manes.15G000300" NA "turquoise"
"Manes.15G005300.v8.1" "Manes.15G005300" "(1 of 2) K11797 - PH-interacting protein (PHIP, WDR11)" "turquoise"
"Manes.15G005900.v8.1" "Manes.15G005900" "(1 of 6) K07953 - GTP-binding protein SAR1 (SAR1)" "turquoise"
"Manes.15G007000.v8.1" "Manes.15G007000" NA "turquoise"
"Manes.15G007400.v8.1" "Manes.15G007400" "(1 of 2) PTHR26402//PTHR26402:SF617 - RESPONSE REGULATOR OF TWO-COMPONENT SYSTEM // TWO-COMPONENT RESPONSE REGULATOR ARR1-RELATED" "turquoise"
"Manes.15G008000.v8.1" "Manes.15G008000" "(1 of 49) PF00407 - Pathogenesis-related protein Bet v I family (Bet_v_1)" "turquoise"
"Manes.15G011000.v8.1" "Manes.15G011000" "(1 of 2) PTHR11206//PTHR11206:SF165 - MULTIDRUG RESISTANCE PROTEIN // MATE EFFLUX FAMILY PROTEIN" "turquoise"
"Manes.15G013200.v8.1" "Manes.15G013200" "(1 of 2) K07565 - 60S ribosome subunit biogenesis protein NIP7 (NIP7)" "turquoise"
"Manes.15G014100.v8.1" "Manes.15G014100" NA "turquoise"
"Manes.15G014400.v8.1" "Manes.15G014400" "(1 of 1) PTHR21689:SF2 - PROTEIN LIN-9 HOMOLOG" "turquoise"
"Manes.15G015200.v8.1" "Manes.15G015200" "(1 of 1) K10631 - E3 ubiquitin-protein ligase Topors [EC:6.3.2.19] (TOPORS)" "turquoise"
"Manes.15G015300.v8.1" "Manes.15G015300" "(1 of 1) PTHR12558:SF8 - ANAPHASE-PROMOTING COMPLEX SUBUNIT 7" "turquoise"
"Manes.15G015900.v8.1" "Manes.15G015900" "(1 of 2) PTHR21493//PTHR21493:SF106 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED" "turquoise"
"Manes.15G016100.v8.1" "Manes.15G016100" "(1 of 2) PTHR21319//PTHR21319:SF5 - RING FINGER AND CHY ZINC FINGER DOMAIN-CONTAINING PROTEIN 1 // SUBFAMILY NOT NAMED" "turquoise"
"Manes.15G017200.v8.1" "Manes.15G017200" "(1 of 2) PTHR16517//PTHR16517:SF47 - TUBBY-RELATED // SUBFAMILY NOT NAMED" "turquoise"
"Manes.15G019600.v8.1" "Manes.15G019600" "(1 of 1) PTHR10869//PTHR10869:SF64 - PROLYL 4-HYDROXYLASE ALPHA SUBUNIT // OXIDOREDUCTASE, 2OG-FE(II) OXYGENASE FAMILY PROTEIN-RELATED" "turquoise"
"Manes.15G020600.v8.1" "Manes.15G020600" NA "turquoise"
"Manes.15G020800.v8.1" "Manes.15G020800" NA "turquoise"
"Manes.15G020900.v8.1" "Manes.15G020900" "(1 of 1) PTHR31669:SF38 - PROTEIN FAR1-RELATED SEQUENCE 12-RELATED" "turquoise"
"Manes.15G021000.v8.1" "Manes.15G021000" "(1 of 29) PF00646//PF07734 - F-box domain (F-box) // F-box associated (FBA_1)" "turquoise"
"Manes.15G022300.v8.1" "Manes.15G022300" "(1 of 2) PTHR10383//PTHR10383:SF24 - SERINE INCORPORATOR // SUBFAMILY NOT NAMED" "turquoise"
"Manes.15G023800.v8.1" "Manes.15G023800" "(1 of 5) 3.1.3.16//3.1.3.48 - Protein-serine/threonine phosphatase / Serine/threonine specific protein phosphatase // Protein-tyrosine-phosphatase / PTPase" "turquoise"
"Manes.15G024600.v8.1" "Manes.15G024600" "(1 of 2) K10686 - ubiquitin-activating enzyme E1 C (UBE1C, UBA3)" "turquoise"
"Manes.15G025600.v8.1" "Manes.15G025600" "(1 of 4) K13354 - solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17 (SLC25A17, PMP34)" "turquoise"
"Manes.15G026000.v8.1" "Manes.15G026000" "(1 of 2) PTHR10799//PTHR10799:SF640 - SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY-RELATED // NUCLEAR PROTEIN STH1/NPS1" "turquoise"
"Manes.15G026500.v8.1" "Manes.15G026500" NA "turquoise"
"Manes.15G026900.v8.1" "Manes.15G026900" "(1 of 3) PTHR24096:SF221 - PROTEIN ACS-13, ISOFORM C" "turquoise"
"Manes.15G027700.v8.1" "Manes.15G027700" "(1 of 1) 1.13.11.12//1.13.11.58 - Linoleate 13S-lipoxygenase / Lipoxidase // Linoleate 9S-lipoxygenase / Linoleate 9-lipoxygenase" "turquoise"
"Manes.15G029000.v8.1" "Manes.15G029000" "(1 of 2) PTHR24098//PTHR24098:SF10 - FAMILY NOT NAMED // ACYL-COA N-ACYLTRANSFERASE WITH RING/FYVE/PHD-TYPE ZINC FINGER PROTEIN-RELATED" "turquoise"
"Manes.15G029500.v8.1" "Manes.15G029500" NA "turquoise"
"Manes.15G030400.v8.1" "Manes.15G030400" "(1 of 1) K15175 - parafibromin (CDC73)" "turquoise"
"Manes.15G030500.v8.1" "Manes.15G030500" "(1 of 2) PTHR33044:SF23 - BIFUNCTIONAL INHIBITOR/LIPID-TRANSFER PROTEIN/SEED STORAGE 2S ALBUMIN SUPERFAMILY PROTEIN-RELATED" "turquoise"
"Manes.15G031100.v8.1" "Manes.15G031100" "(1 of 2) PTHR11200:SF174 - POLYPHOSPHATE 5'-PHOSPHATASE-RELATED" "turquoise"
"Manes.15G032100.v8.1" "Manes.15G032100" "(1 of 2) PTHR11814//PTHR11814:SF106 - SULFATE TRANSPORTER // SUBFAMILY NOT NAMED" "turquoise"
"Manes.15G032400.v8.1" "Manes.15G032400" NA "turquoise"
