"","gene_id","colors","locusName","Pathways","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"624","Manes.14G053600.v8.1","coral3","Manes.14G053600","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 39) K01188 - beta-glucosidase (E3.2.1.21)","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353",""
"625","Manes.14G054600.v8.1","lightyellow","Manes.14G054600","PWY66-399; GLUCONEO-PWY; PWY-5464; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 8) K00134 - glyceraldehyde 3-phosphate dehydrogenase (GAPDH; gapA)","GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114","KOG0657","K00134","PF00044 PF02800","PTHR10836 PTHR10836:SF59","glyceraldehyde-3-phosphate dehydrogenase C2"
"626","Manes.14G061200.v8.1","lightsteelblue1","Manes.14G061200","","carb","(1 of 1) PTHR27007:SF30 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE S.1","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0030246","KOG1187","","PF00069 PF00139","PTHR27007 PTHR27007:SF30","Concanavalin A-like lectin protein kinase family protein"
"627","Manes.14G065900.v8.1","salmon","Manes.14G065900","PWY-7560","carot","(1 of 2) 1.1.1.267 - 1-deoxy-D-xylulose-5-phosphate reductoisomerase / DXP-reductoisomerase","GO:0005515 GO:0008299 GO:0030604 GO:0046872 GO:0055114 GO:0070402","","K00099","PF02670 PF08436 PF13288","PTHR30525 PTHR30525:SF2","1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"628","Manes.14G067800.v8.1","yellow","Manes.14G067800","","carb","(1 of 4) PTHR10788:SF14 - ALPHA;ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 10-RELATED","GO:0003824 GO:0005992 GO:0008152","","","PF00982 PF02358","PTHR10788 PTHR10788:SF14",""
"629","Manes.14G070700.v8.1","turquoise","Manes.14G070700","PWY-882; PWY-5659","carb","(1 of 5) 2.7.7.13 - Mannose-1-phosphate guanylyltransferase / GTP-mannose-1-phosphate guanylyltransferase","GO:0009058 GO:0016779","","K00966","PF00132 PF00483","PTHR22572 PTHR22572:SF104","ADP-glucose pyrophosphorylase family protein"
"630","Manes.14G072900.v8.1","plum","Manes.14G072900","","carb","(1 of 3) PTHR11214//PTHR11214:SF103 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // BETA-1;3-GALACTOSYLTRANSFERASE 17-RELATED","GO:0006486 GO:0008378 GO:0016020 GO:0030246","KOG2287","","PF00337 PF01762","PTHR11214 PTHR11214:SF103","Galactosyltransferase family protein"
"631","Manes.14G073300.v8.1","greenyellow","Manes.14G073300","GLUCOSE1PMETAB-PWY","carb","(1 of 1) 1.1.5.2//1.1.99.35 - Quinoprotein glucose dehydrogenase (PQQ; quinone) / Quinoprotein D-glucose dehydrogenase // Soluble quinoprotein glucose dehydrogenase / Soluble glucose dehydrogenase","GO:0005975 GO:0016901 GO:0048038","","","PF07995","PTHR19328 PTHR19328:SF34","catalytics"
"632","Manes.14G076700.v8.1","thistle2","Manes.14G076700","PWY-1081","carb","(1 of 3) PTHR31707//PTHR31707:SF42 - FAMILY NOT NAMED // PECTINESTERASE 1-RELATED","GO:0004857","","","PF04043","PTHR31707 PTHR31707:SF42","Plant invertase/pectin methylesterase inhibitor superfamily protein"
"633","Manes.14G078500.v8.1","brown","Manes.14G078500","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","carb","(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED","GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF01073 PF02866","PTHR11540 PTHR11540:SF29","malate dehydrogenase"
"634","Manes.14G078700.v8.1","brown","Manes.14G078700","PWY-5064; PWY-5063","carb","(1 of 1) 1.3.1.83 - Geranylgeranyl diphosphate reductase / Geranylgeranyl reductase","GO:0008033 GO:0015979 GO:0015995 GO:0016628 GO:0045550 GO:0050660 GO:0051188 GO:0055114","","K10960","PF01134","PTHR10617 PTHR10617:SF116","Pyridine nucleotide-disulphide oxidoreductase family protein"
"635","Manes.14G081000.v8.1","darkred","Manes.14G081000","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 4) 5.1.3.1 - Ribulose-phosphate 3-epimerase / Xylulose phosphate 3-epimerase","GO:0005975 GO:0016857","KOG3111","K01783","PF00834","PTHR11749 PTHR11749:SF4","D-ribulose-5-phosphate-3-epimerase"
"636","Manes.14G081800.v8.1","turquoise","Manes.14G081800","PWY-5936","carb","(1 of 2) PTHR31311//PTHR31311:SF4 - FAMILY NOT NAMED // GLYCOSYLTRANSFERASE 3-RELATED","GO:0016021 GO:0016757","KOG4748","K08238","PF05637","PTHR31311 PTHR31311:SF4","xyloglucan xylosyltransferase 5"
"637","Manes.14G084200.v8.1","turquoise","Manes.14G084200","PWY-7346; PWY-4821","carb","(1 of 4) K00012 - UDPglucose 6-dehydrogenase (UGDH; ugd)","GO:0003979 GO:0016616 GO:0051287 GO:0055114","","K00012","PF00984 PF03720 PF03721","PTHR11374 PTHR11374:SF28","UDP-glucose 6-dehydrogenase family protein"
"638","Manes.14G088100.v8.1","yellow","Manes.14G088100","","carb","(1 of 9) 5.4.99.30 - UDP-arabinopyranose mutase","GO:0016866 GO:0030244","","K13379","PF03214","PTHR31682 PTHR31682:SF3",""
"639","Manes.14G088700.v8.1","brown1","Manes.14G088700","PWY-1061","carb","(1 of 2) PTHR32116//PTHR32116:SF20 - FAMILY NOT NAMED // GALACTURONOSYLTRANSFERASE 11-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF20","galacturonosyltransferase 11"
"640","Manes.14G092900.v8.1","darkorange","Manes.14G092900","PENTOSE-P-PWY; OXIDATIVEPENT-PWY","carb","(1 of 4) 1.1.1.44 - Phosphogluconate dehydrogenase (NADP(+)-dependent; decarboxylating) / Phosphogluconic acid dehydrogenase","GO:0004616 GO:0006098 GO:0050661 GO:0055114","","K00033","PF00393 PF03446","PTHR11811 PTHR11811:SF33",""
"641","Manes.14G095900.v8.1","bisque4","Manes.14G095900","PWY-7117; PWYQT-4429; PWY-6549; PWY-241; PWY-7115","carb","(1 of 2) PTHR30523//PTHR30523:SF6 - PHOSPHOENOLPYRUVATE CARBOXYLASE // PHOSPHOENOLPYRUVATE CARBOXYLASE 4","GO:0006099 GO:0008964 GO:0015977","","K01595","PF00311","PTHR30523 PTHR30523:SF6","phosphoenolpyruvate carboxylase 4"
"642","Manes.14G097800.v8.1","darkgrey","Manes.14G097800","PWY-1061","carb","(1 of 2) PTHR13778//PTHR13778:SF4 - GLYCOSYLTRANSFERASE 8 DOMAIN-CONTAINING PROTEIN // GALACTURONOSYLTRANSFERASE-LIKE 3-RELATED","GO:0016757","","","PF01501","PTHR13778 PTHR13778:SF4","galacturonosyltransferase-like 3"
"643","Manes.14G101700.v8.1","coral2","Manes.14G101700","","carb","(1 of 3) 3.2.1.177//3.2.1.37//3.2.1.55 - Alpha-D-xyloside xylohydrolase / Alpha-xylosidase // Xylan 1;4-beta-xylosidase / Xylobiase // Non-reducing end alpha-L-arabinofuranosidase / Arabinosidase","GO:0004553 GO:0005975","","K15925","PF01055 PF16863","PTHR22762 PTHR22762:SF56","alpha-xylosidase 1"
"644","Manes.14G108900.v8.1","yellow","Manes.14G108900","PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR11627//PTHR11627:SF8 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 3; CHLOROPLASTIC-RELATED","GO:0004332 GO:0006096","","K01623","PF00274","PTHR11627 PTHR11627:SF8","Aldolase superfamily protein"
"645","Manes.14G135500.v8.1","green","Manes.14G135500","PHOTOALL-PWY; PENTOSE-P-PWY; NONOXIPENT-PWY; PWY-5723; CALVIN-PWY","carb","(1 of 3) PTHR11934//PTHR11934:SF7 - RIBOSE-5-PHOSPHATE ISOMERASE // RIBOSE-5-PHOSPHATE ISOMERASE 1-RELATED","GO:0004751 GO:0009052","KOG3075","K01807","PF06026","PTHR11934 PTHR11934:SF7","ribose-5-phosphate isomerase 2"
"646","Manes.14G123700.v8.1","mediumpurple1","Manes.14G123700","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) KOG1794 - N-Acetylglucosamine kinase","GO:0034618 GO:0051259","","","PF01869","PTHR12862 PTHR12862:SF6","Actin-like ATPase superfamily protein"
"647","Manes.14G126800.v8.1","grey","Manes.14G126800","PWY-63","carb","(1 of 2) K12448 - UDP-arabinose 4-epimerase (UXE; uxe)","GO:0003978 GO:0006012","","K12448","PF02719","PTHR10366 PTHR10366:SF326","NAD(P)-binding Rossmann-fold superfamily protein"
"648","Manes.14G115000.v8.1","bisque4","Manes.14G115000","PWY-7426","carb","(1 of 6) 2.4.1.144 - Beta-1;4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase / acetylglucosaminyltransferase III","GO:0003830 GO:0006487 GO:0016020","","K00737","PF04724","PTHR12224 PTHR12224:SF1","beta-1,4-N-acetylglucosaminyltransferase family protein"
"649","Manes.14G117000.v8.1","blue","Manes.14G117000","SUCSYN-PWY; PWY-7238","carb","(1 of 1) PTHR12526//PTHR12526:SF334 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED","GO:0005985 GO:0016157 GO:0046524","KOG0853","K00696","PF00534 PF00862 PF05116","PTHR12526 PTHR12526:SF334","sucrose phosphate synthase 1F"
"650","Manes.14G118900.v8.1","antiquewhite1","Manes.14G118900","","carot","(1 of 6) PTHR13789//PTHR13789:SF234 - MONOOXYGENASE // SUBFAMILY NOT NAMED","GO:0016117 GO:0016705","KOG2614","","PF05834","PTHR13789 PTHR13789:SF234",""
"651","Manes.14G141000.v8.1","darkolivegreen1","Manes.14G141000","PWY-6902","carb","(1 of 2) PTHR11177//PTHR11177:SF208 - CHITINASE // SUBFAMILY NOT NAMED","GO:0004553 GO:0004568 GO:0005975 GO:0006032","KOG2806","K01183","PF00704","PTHR11177 PTHR11177:SF208",""
"652","Manes.14G112200.v8.1","honeydew","Manes.14G112200","PWY-5464; PWY-1042","carb","(1 of 2) 1.2.1.9 - Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) / Triosephosphate dehydrogenase","GO:0008152 GO:0016491 GO:0055114","","K00131","PF00171","PTHR11699 PTHR11699:SF29","aldehyde dehydrogenase 11A3"
"653","Manes.14G144300.v8.1","coral2","Manes.14G144300","","carb","(1 of 1) PF00704//PF07714 - Glycosyl hydrolases family 18 (Glyco_hydro_18) // Protein tyrosine kinase (Pkinase_Tyr)","GO:0004553 GO:0004568 GO:0004672 GO:0004713 GO:0005524 GO:0005975 GO:0006032 GO:0006468","KOG1187","K01183","PF00704 PF07714","PTHR27002 PTHR27002:SF1",""
"654","Manes.14G143300.v8.1","tan","Manes.14G143300","PWY-1001","carb","(1 of 3) PTHR13301//PTHR13301:SF28 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED","GO:0005515 GO:0008270","","K10999","PF13632 PF14569","PTHR13301 PTHR13301:SF28","Cellulose synthase family protein"
"655","Manes.14G114400.v8.1","green","Manes.14G114400","","carb","(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"656","Manes.14G133598.v8.1","green","Manes.14G133598","","carb","(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"657","Manes.14G139964.v8.1","lightpink4","Manes.14G139964","","carb","(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"658","Manes.14G146100.v8.1","green","Manes.14G146100","","carb","(1 of 13) K08235//K14504 - xyloglucan:xyloglucosyl transferase (E2.4.1.207) // xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"659","Manes.14G146000.v8.1","green","Manes.14G146000","","carb","(1 of 13) K08235//K14504 - xyloglucan:xyloglucosyl transferase (E2.4.1.207) // xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"660","Manes.14G145800.v8.1","green","Manes.14G145800","","carb","(1 of 13) K08235//K14504 - xyloglucan:xyloglucosyl transferase (E2.4.1.207) // xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"661","Manes.14G145700.v8.1","tan4","Manes.14G145700","","carb","(1 of 13) K14504 - xyloglucan:xyloglucosyl transferase TCH4 (TCH4)","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","K08235 K14504","PF00722 PF06955","PTHR31062 PTHR31062:SF32","xyloglucan endotransglycosylase 6"
"662","Manes.14G146200.v8.1","brown2","Manes.14G146200","PWY-7560","carot","(1 of 2) 2.7.7.60 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / MEP cytidylyltransferase","GO:0008299 GO:0050518","","K00991","PF12804","PTHR32125 PTHR32125:SF4","Nucleotide-diphospho-sugar transferases superfamily protein"
"663","Manes.14G147600.v8.1","green","Manes.14G147600","PWY-4861","carb","(1 of 1) PTHR10366//PTHR10366:SF396 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED","GO:0005975 GO:0016857","KOG1371","K08679","PF04321","PTHR10366 PTHR10366:SF396","UDP-D-glucuronate 4-epimerase 1"
"664","Manes.14G150200.v8.1","lightpink2","Manes.14G150200","PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY","carb","(1 of 1) PTHR12169:SF6 - LACTATION ELEVATED PROTEIN 1","GO:0005524","","","PF03969","PTHR12169 PTHR12169:SF6","AFG1-like ATPase family protein"
"665","Manes.14G152200.v8.1","green","Manes.14G152200","","carb","(1 of 1) PTHR31062:SF47 - XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 21-RELATED","GO:0004553 GO:0005618 GO:0005975 GO:0006073 GO:0010411 GO:0016762 GO:0042546 GO:0048046","","","PF00722 PF06955","PTHR31062 PTHR31062:SF47","xyloglucan endotransglycosylase 6"
"666","Manes.14G157400.v8.1","slateblue","Manes.14G157400","","carb","(1 of 1) PF00082//PF05922//PF06280 - Subtilase family (Peptidase_S8) // Peptidase inhibitor I9 (Inhibitor_I9) // Fn3-like domain (fn3_5)","GO:0004252 GO:0005618 GO:0006508 GO:0016020","","","PF00082 PF05922 PF06280","PTHR10795 PTHR10795:SF431","subtilisin-like serine protease 3"
"667","Manes.14G166900.v8.1","green","Manes.14G166900","PWY-7560","carot","(1 of 2) 2.7.7.60 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / MEP cytidylyltransferase","GO:0008299 GO:0050518","","K00991","PF12804","PTHR32125 PTHR32125:SF4","Nucleotide-diphospho-sugar transferases superfamily protein"
"668","Manes.14G169200.v8.1","darkturquoise","Manes.14G169200","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 1) PTHR10353//PTHR10353:SF28 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE 43-RELATED","GO:0004553 GO:0005975","","K05350","PF00232","PTHR10353 PTHR10353:SF28","B-S glucosidase 44"
"669","Manes.14G169500.v8.1","darkturquoise","Manes.14G169500","","carb","(1 of 1) K05284 - phosphatidylinositol glycan; class M (PIGM)","GO:0006506 GO:0016021 GO:0016758","KOG3893","K05284","PF06728","PTHR12886","mannosyltransferase family protein"
"670","Manes.14G171800.v8.1","pink3","Manes.14G171800","PWY66-422","carb","(1 of 2) PTHR10091//PTHR10091:SF8 - ALDOSE-1-EPIMERASE // SUBFAMILY NOT NAMED","GO:0005975 GO:0016853 GO:0019318","KOG1604","K01785","PF01263","PTHR10091 PTHR10091:SF8","Galactose mutarotase-like superfamily protein"
"671","Manes.14G174500.v8.1","red","Manes.14G174500","","carb","(1 of 6) 1.8.7.2 - Ferredoxin:thioredoxin reductase","GO:0009107 GO:0015979 GO:0016992 GO:0051539","","","PF02941","PTHR10949 PTHR10949:SF11","ferredoxin/thioredoxin reductase subunit A (variable subunit) 2"
"672","Manes.15G002700.v8.1","purple","Manes.15G002700","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 1) PTHR10353//PTHR10353:SF33 - GLYCOSYL HYDROLASE // BETA-GLUCOSIDASE-LIKE SFR2; CHLOROPLASTIC","GO:0004553 GO:0005975","KOG0626","","PF00232","PTHR10353 PTHR10353:SF33","Glycosyl hydrolase superfamily protein"
"673","Manes.15G001800.v8.1","yellow","Manes.15G001800","PWY-3821; PWY-6527; PWY66-422; PWY-7344","carb","(1 of 2) 2.7.1.6//5.1.3.2 - Galactokinase // UDP-glucose 4-epimerase / Uridine diphospho-galactose-4-epimerase","GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835","KOG0631","K18674","PF00288 PF08544 PF10509","PTHR10457 PTHR10457:SF7","Mevalonate/galactokinase family protein"
"674","Manes.15G006000.v8.1","tan","Manes.15G006000","","carb","(1 of 2) PTHR22595//PTHR22595:SF42 - CHITINASE-RELATED // CHITINASE-LIKE PROTEIN 1","GO:0004568 GO:0005975 GO:0006032 GO:0016998","KOG4742","","PF00182","PTHR22595 PTHR22595:SF42","chitinase-like protein 2"
"675","Manes.15G006300.v8.1","tan","Manes.15G006300","","carb","(1 of 1) PTHR30620:SF50 - BETA-D-XYLOSIDASE 1","GO:0004553 GO:0005975","","","PF00933 PF01915 PF14310","PTHR30620 PTHR30620:SF50","beta-xylosidase 1"
"676","Manes.15G012300.v8.1","red","Manes.15G012300","PWY-5936","carb","(1 of 4) K08238 - xyloglucan 6-xylosyltransferase [EC:2.4.2.39] Xyl a1-6 Glc (XXT)","GO:0016021 GO:0016757","KOG4748","K08238","PF05637","PTHR31311 PTHR31311:SF6","UDP-xylosyltransferase 2"
"677","Manes.15G018800.v8.1","yellow","Manes.15G018800","PWY-7560","carot","(1 of 3) PTHR11624//PTHR11624:SF83 - DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED","GO:0003824 GO:0008152 GO:0008661 GO:0016114","","K01662","PF02779 PF02780 PF13292","PTHR11624 PTHR11624:SF83","Deoxyxylulose-5-phosphate synthase"
"678","Manes.15G027800.v8.1","yellow","Manes.15G027800","","carb","(1 of 1) PTHR31982:SF4 - PHOTOSYSTEM I REACTION CENTER SUBUNIT II-1; CHLOROPLASTIC-RELATED","GO:0009522 GO:0009538 GO:0015979","","K02692","PF02531","PTHR31982 PTHR31982:SF4","photosystem I subunit D-1"
"679","Manes.15G034400.v8.1","antiquewhite2","Manes.15G034400","PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY","carb","(1 of 2) PTHR11817//PTHR11817:SF14 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 1; CHLOROPLASTIC","GO:0000287 GO:0004743 GO:0006096 GO:0030955","KOG2323","K00873","PF00224 PF02887","PTHR11817 PTHR11817:SF14","Pyruvate kinase family protein"
"680","Manes.15G040800.v8.1","yellow","Manes.15G040800","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","carb","(1 of 5) K00025 - malate dehydrogenase (MDH1)","GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00025","PF00056 PF02866","PTHR23382 PTHR23382:SF7","Lactate/malate dehydrogenase family protein"
"681","Manes.15G047700.v8.1","orangered3","Manes.15G047700","PWY-6724","carb","(1 of 7) K01177 - beta-amylase (E3.2.1.2)","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF13","beta-amylase 1"
"682","Manes.15G055700.v8.1","yellow4","Manes.15G055700","","carb","(1 of 2) PTHR23421//PTHR23421:SF69 - BETA-GALACTOSIDASE RELATED // BETA-GALACTOSIDASE 9","GO:0004553 GO:0005975 GO:0030246","","","PF01301 PF02140","PTHR23421 PTHR23421:SF69","beta galactosidase 9"
"683","Manes.15G056600.v8.1","pink","Manes.15G056600","PWY-4861","carb","(1 of 2) PTHR10366//PTHR10366:SF431 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // UDP-GLUCURONATE 4-EPIMERASE 6","GO:0003854 GO:0005975 GO:0006694 GO:0016616 GO:0016857 GO:0055114","KOG1371","K08679","PF01073","PTHR10366 PTHR10366:SF431","UDP-D-glucuronate 4-epimerase 6"
"684","Manes.15G060100.v8.1","red","Manes.15G060100","","carb","(1 of 1) PTHR31352:SF9 - INACTIVE BETA-AMYLASE 4; CHLOROPLASTIC","GO:0000272 GO:0016161","","K01177","PF01373","PTHR31352 PTHR31352:SF9","beta-amylase 4"
"685","Manes.15G067000.v8.1","lightgreen","Manes.15G067000","","carb","(1 of 3) PTHR32227//PTHR32227:SF116 - FAMILY NOT NAMED // O-GLYCOSYL HYDROLASES FAMILY 17 PROTEIN","GO:0004553 GO:0005975","","","PF00332 PF07983","PTHR32227 PTHR32227:SF116","O-Glycosyl hydrolases family 17 protein"
"686","Manes.15G070900.v8.1","turquoise","Manes.15G070900","","carb","(1 of 4) PTHR11214:SF5 - BETA-1;3-GALACTOSYLTRANSFERASE 2-RELATED","GO:0006486 GO:0008378 GO:0016020","KOG2288","","PF01762 PF13334","PTHR11214 PTHR11214:SF5",""
"687","Manes.15G075500.v8.1","blue","Manes.15G075500","PWY-1081","carb","(1 of 2) PTHR31707//PTHR31707:SF32 - FAMILY NOT NAMED // PECTINESTERASE-RELATED PROTEIN-RELATED","GO:0004857 GO:0005618 GO:0030599 GO:0042545","","K01051","PF01095 PF04043","PTHR31707 PTHR31707:SF32",""
"688","Manes.15G076900.v8.1","tan","Manes.15G076900","PWY-1061","carb","(1 of 2) PTHR32116:SF24 - GALACTURONOSYLTRANSFERASE 12-RELATED","GO:0016757 GO:0047262","","K13648","PF01501","PTHR32116 PTHR32116:SF24","galacturonosyltransferase 12"
"689","Manes.15G079300.v8.1","greenyellow","Manes.15G079300","PWY-3121; PWY-6002; PWY-7089; PWY-5176; PWY-7092; PWY-7091","carb","(1 of 1) PTHR10353:SF46 - BETA-GLUCOSIDASE 41-RELATED","GO:0004553 GO:0005975","","K01188","PF00232","PTHR10353 PTHR10353:SF46","beta glucosidase 41"
"690","Manes.15G091900.v8.1","yellowgreen","Manes.15G091900","PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561","carb","(1 of 6) K00026 - malate dehydrogenase (MDH2)","GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114","","K00026","PF01073 PF02866","PTHR11540","Lactate/malate dehydrogenase family protein"
"691","Manes.15G092600.v8.1","cyan","Manes.15G092600","","carb","(1 of 1) PTHR15495//PTHR15495:SF7 - NEGATIVE REGULATOR OF VESICLE FORMATION-RELATED // GPI INOSITOL-DEACYLASE","GO:0006505 GO:0006886 GO:0016788","","","PF07819","PTHR15495 PTHR15495:SF7","hydrolases, acting on ester bonds"
"692","Manes.15G092900.v8.1","firebrick4","Manes.15G092900","","carb","(1 of 1) PTHR11214//PTHR11214:SF108 - BETA-1;3-N-ACETYLGLUCOSAMINYLTRANSFERASE // BETA-1;3-GALACTOSYLTRANSFERASE 13-RELATED","GO:0006486 GO:0008378 GO:0016020","KOG2288","","PF01762","PTHR11214 PTHR11214:SF108","Galactosyltransferase family protein"
"693","Manes.15G093700.v8.1","skyblue2","Manes.15G093700","PWY-7117; PWYQT-4429; PWY-6549; PWY-241; PWY-7115","carb","(1 of 5) 4.1.1.31 - Phosphoenolpyruvate carboxylase / Phosphoenolpyruvic carboxylase","GO:0006099 GO:0008964 GO:0015977","","K01595","PF00311","PTHR30523 PTHR30523:SF8","phosphoenolpyruvate carboxylase 3"
"694","Manes.15G095400.v8.1","lightpink1","Manes.15G095400","MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","carb","(1 of 1) K05286 - phosphatidylinositol glycan; class B (PIGB)","GO:0016757","","K05286","PF03901","PTHR22760 PTHR22760:SF4","Alg9-like mannosyltransferase family"
"695","Manes.15G098800.v8.1","purple","Manes.15G098800","","carb","(1 of 4) PTHR10788:SF6 - BCDNA.GH08860","GO:0003824 GO:0003825 GO:0005992","","K16055","PF00982 PF02358","PTHR10788 PTHR10788:SF6","trehalose-6-phosphate synthase"
"696","Manes.15G099200.v8.1","tan","Manes.15G099200","PWY-4","carb","(1 of 1) 2.7.1.44 - Galacturonokinase","GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835","KOG0631","K18677","PF00288 PF08544 PF10509","PTHR10457 PTHR10457:SF11","galacturonic acid kinase"
"697","Manes.15G100400.v8.1","darkturquoise","Manes.15G100400","HEXPPSYN-PWY; PWY-6520; PWY-5807; PWY-5910; PWY-5783; PWY-5805; PWY-5120","carot","(1 of 1) 2.5.1.83 - Hexaprenyl-diphosphate synthase ((2E;6E)-farnesyl-diphosphate specific) / HexPS","GO:0008299 GO:0015979 GO:0016765","KOG0776","K05356","PF00348","PTHR12001 PTHR12001:SF18","solanesyl diphosphate synthase 2"
"698","Manes.15G100800.v8.1","red","Manes.15G100800","PWY-6773","carb","(1 of 1) PTHR12741:SF22 - CALLOSE SYNTHASE 8-RELATED","GO:0000148 GO:0003843 GO:0006075 GO:0016020","","K11000","PF02364 PF04652 PF14288","PTHR12741 PTHR12741:SF22","glucan synthase-like 4"
"699","Manes.15G101700.v8.1","turquoise","Manes.15G101700","","carb","(1 of 1) K00852 - ribokinase (rbsK; RBKS)","GO:0004747 GO:0006014","KOG2855","K00852","PF08543","PTHR10584 PTHR10584:SF166","pfkB-like carbohydrate kinase family protein"
