"","locusName","Pathways","Pathways_Desc","GODescription","class","Description","GO","KOG","KO","Pfam","Panther","Best-hit-arabi-defline"
"30836","Manes.18G003400","","","G protein-coupled receptor activity; glutamate-gated receptor activity; G protein-coupled receptor signaling pathway; membrane; extracellularly glutamate-gated ion channel activity",NA,"(1 of 2) PTHR18966//PTHR18966:SF186 - IONOTROPIC GLUTAMATE RECEPTOR // SUBFAMILY NOT NAMED","GO:0004930 GO:0004970 GO:0007186 GO:0016020 GO:0016021","KOG1052","K05387","PF00060 PF00497 PF13458","PTHR18966 PTHR18966:SF186","glutamate receptor 3.3"
"30837","Manes.18G003500","","","catalytic activity; protein serine/threonine phosphatase activity; protein dephosphorylation",NA,"(1 of 2) PTHR13832//PTHR13832:SF252 - PROTEIN PHOSPHATASE 2C // PROTEIN PHOSPHATASE 2C 27-RELATED","GO:0003824 GO:0004722 GO:0006470","KOG0698","K14803","PF00481","PTHR13832 PTHR13832:SF252","Protein phosphatase 2C family protein"
"30838","Manes.18G003600","","","",NA,"(1 of 1) KOG4052 - Uncharacterized conserved protein","","KOG4052","","PF11938","PTHR31775 PTHR31775:SF2","(1 of 1) PTHR31775:SF2 - REMORIN"
"30839","Manes.18G003700","","","calcium ion binding; protein binding",NA,"(1 of 3) PTHR11216//PTHR11216:SF72 - EH DOMAIN // CALCIUM-BINDING EF HAND-CONTAINING PROTEIN","GO:0005509 GO:0005515","KOG0998","","PF12763 PF13202","PTHR11216 PTHR11216:SF72","Calcium-binding EF hand family protein"
"30840","Manes.18G003801","","","nucleic acid binding; DNA binding; ATP binding; nucleobase-containing compound metabolic process; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",NA,"(1 of 1) K15362 - fanconi anemia group J protein (BRIP1; BACH1; FANCJ)","GO:0003676 GO:0003677 GO:0004003 GO:0005524 GO:0006139 GO:0008026 GO:0016818","","K15362","PF06733 PF13307","PTHR11472 PTHR11472:SF6","RAD3-like DNA-binding helicase protein"
"30841","Manes.18G003900","","","",NA,"(1 of 3) PTHR13711//PTHR13711:SF223 - SWI/SNF-RELATED CHROMATIN BINDING PROTEIN // HIGH MOBILITY GROUP B PROTEIN 2-RELATED","","KOG0381","","PF00505","PTHR13711 PTHR13711:SF223","high mobility group B2"
"30842","Manes.18G004000","","","",NA,"(1 of 2) PTHR17985//PTHR17985:SF13 - SER/THR-RICH PROTEIN T10 IN DGCR REGION // SUBFAMILY NOT NAMED","","KOG2342","","PF05742","PTHR17985 PTHR17985:SF13","Protein of unknown function (DUF833)"
"30843","Manes.18G004100","","","",NA,"(1 of 9) PF13704 - Glycosyl transferase family 2 (Glyco_tranf_2_4)","","","","PF13704","PTHR21461 PTHR21461:SF20","Domain of unknown function (DUF23)"
"30844","Manes.18G004200","","","hedgehog receptor activity; membrane; cholesterol transport",NA,"(1 of 3) K12385 - Niemann-Pick C1 protein (NPC1)","GO:0008158 GO:0016020 GO:0016021 GO:0030301","","K12385","PF02460 PF16414","PTHR10796 PTHR10796:SF117",""
"30845","Manes.18G004300","","","protein binding",NA,"(1 of 2) PTHR32002:SF6 - PROTEIN NLP4-RELATED","GO:0005515","","","PF00564 PF02042","PTHR32002 PTHR32002:SF6","Plant regulator RWP-RK family protein"
"30846","Manes.18G004400","DETOX1-PWY-1; DETOX1-PWY","reactive oxygen species degradation; superoxide radicals degradation","catalase activity; response to oxidative stress; heme binding",NA,"(1 of 3) 1.11.1.21 - Catalase peroxidase","GO:0004096 GO:0006979 GO:0020037 GO:0055114","","K03781","PF00199 PF06628","PTHR11465 PTHR11465:SF19",""
"30847","Manes.18G004500","DETOX1-PWY-1; DETOX1-PWY","reactive oxygen species degradation; superoxide radicals degradation","catalase activity; response to oxidative stress; heme binding",NA,"(1 of 2) PTHR11465//PTHR11465:SF15 - CATALASE // SUBFAMILY NOT NAMED","GO:0004096 GO:0006979 GO:0020037 GO:0055114","","K03781","PF00199 PF06628","PTHR11465 PTHR11465:SF15",""
"30848","Manes.18G004600","PWY-7511","protein ubiquitylation","ubiquitin-protein transferase activity; protein binding; protein ubiquitination",NA,"(1 of 2) PTHR23315//PTHR23315:SF49 - BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING // SUBFAMILY NOT NAMED","GO:0004842 GO:0005515 GO:0016567","","","PF00514 PF04564","PTHR23315 PTHR23315:SF49","Plant U-Box 15"
"30849","Manes.18G004700","","","nucleus",NA,"(1 of 5) K05868 - cyclin B (CCNB)","GO:0005634","KOG0653","K05868","PF00134 PF02984","PTHR10177 PTHR10177:SF250","CYCLIN B2;4"
"30850","Manes.18G004800","","","protein binding",NA,"(1 of 1) KOG4276 - Predicted hormone receptor interactor","GO:0005515","KOG4441","","PF00651 PF07707 PF12248","PTHR24413 PTHR24413:SF79","BTB/POZ domain-containing protein"
"30851","Manes.18G004900","","","RNA processing",NA,"(1 of 3) K11088 - small nuclear ribonucleoprotein D3 (SNRPD3; SMD3)","GO:0006396","KOG3172","K11088","PF01423","PTHR23338","Small nuclear ribonucleoprotein family protein"
"30852","Manes.18G005000","","","DNA-binding transcription factor activity; regulation of DNA-templated transcription; sequence-specific DNA binding",NA,"(1 of 2) PTHR22952//PTHR22952:SF117 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // BZIP TRANSCRIPTION FACTOR 60","GO:0003700 GO:0006355 GO:0043565","","","PF00170","PTHR22952 PTHR22952:SF117","basic region/leucine zipper motif 60"
"30853","Manes.18G005100","","","nucleic acid binding; DNA binding; ATP binding; hydrolase activity; post-translational protein targeting to membrane, translocation",NA,"(1 of 1) K12854 - pre-mRNA-splicing helicase BRR2 (SNRNP200; BRR2)","GO:0003676 GO:0003677 GO:0005524 GO:0008565 GO:0016787 GO:0031204","","K12854","PF00270 PF00271 PF02889 PF04851","PTHR24075","U5 small nuclear ribonucleoprotein helicase, putative"
"30854","Manes.18G005201","","","protein binding",NA,"(1 of 2) PTHR24413:SF79 - BTB/POZ DOMAIN-CONTAINING PROTEIN 9","GO:0005515","","","PF00651 PF07707","PTHR24413 PTHR24413:SF79",""
"30855","Manes.18G005301","","","",NA,"","","","","","PTHR37259",""
"30856","Manes.18G005400","","","metallocarboxypeptidase activity; proteolysis; zinc ion binding",NA,"(1 of 3) 3.4.17.20 - Carboxypeptidase U / Thrombin-activatable fibrinolysis inhibitor","GO:0004181 GO:0006508 GO:0008270","KOG2650","","PF00246","PTHR11705 PTHR11705:SF81","Zn-dependent exopeptidases superfamily protein"
"30857","Manes.18G005500","","","nucleus; ribosome biogenesis",NA,"(1 of 1) K14799 - pre-rRNA-processing protein TSR1 (TSR1)","GO:0005634 GO:0042254","","K14799","PF04950 PF08142","PTHR12858","(1 of 2) PTHR12858 - RIBOSOME BIOGENESIS PROTEIN"
"30858","Manes.18G005600","PWY-4203; PWY-5835; PWY-6801","volatile benzenoid biosynthesis I (ester formation); geranyl acetate biosynthesis; volatile esters biosynthesis (during fruit ripening)","acyltransferase activity, transferring groups other than amino-acyl groups",NA,"(1 of 12) K13065 - shikimate O-hydroxycinnamoyltransferase (E2.3.1.133; HCT)","GO:0016747","","K13065","PF02458","PTHR31623 PTHR31623:SF6",""
"30859","Manes.18G005700","","","",NA,"(1 of 7) PF05542 - Protein of unknown function (DUF760) (DUF760)","","","","PF05542","PTHR33598 PTHR33598:SF4","(1 of 8) PF05542 - Protein of unknown function (DUF760) (DUF760)"
"30860","Manes.18G005800","","","protein binding",NA,"(1 of 1) PTHR14205:SF15 - PROTEIN TSSC1","GO:0005515","KOG1007","","","PTHR14205 PTHR14205:SF15","Transducin/WD40 repeat-like superfamily protein"
"30861","Manes.18G005900","","","",NA,"","","","","","PTHR34113 PTHR34113:SF3",""
"30862","Manes.18G006000","","","",NA,"","","","","","PTHR35112 PTHR35112:SF1",""
"30863","Manes.18G006100","","","",NA,"(1 of 38) PF03087 - Arabidopsis protein of unknown function (DUF241)","","","","PF03087","PTHR33070 PTHR33070:SF14","Arabidopsis protein of unknown function (DUF241)"
"30864","Manes.18G006200","","","",NA,"(1 of 2) PTHR21450//PTHR21450:SF19 - UNCHARACTERIZED // F5M15.15","","","","PF04782 PF04783","PTHR21450 PTHR21450:SF19",""
"30865","Manes.18G006300","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 9) K14500 - BR-signaling kinase (BSK)","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","K14500","PF07714 PF13414","PTHR27001 PTHR27001:SF41",""
"30866","Manes.18G006400","","","metalloendopeptidase activity; ATP binding; proteolysis; membrane; ATP hydrolysis activity",NA,"(1 of 2) PTHR23076//PTHR23076:SF33 - METALLOPROTEASE M41 FTSH // ATP-DEPENDENT ZINC METALLOPROTEASE FTSH 1; CHLOROPLASTIC-RELATED","GO:0004222 GO:0005524 GO:0006508 GO:0016020 GO:0016887","","K03798","PF01434 PF07728","PTHR23076 PTHR23076:SF33","FtsH extracellular protease family"
"30867","Manes.18G006500","","","",NA,"(1 of 38) PF03087 - Arabidopsis protein of unknown function (DUF241)","","","","PF03087","PTHR31509 PTHR31509:SF12",""
"30868","Manes.18G006600","","","",NA,"(1 of 2) PTHR31509:SF6 - F5M15.16","","","","PF03087","PTHR31509 PTHR31509:SF6","Arabidopsis protein of unknown function (DUF241)"
"30869","Manes.18G006720","","","mitochondrial inner membrane",NA,"","GO:0005743 GO:0005747","","","","PTHR15223","(1 of 1) PTHR15223 - NADH-UBIQUINONE OXIDOREDUCTASE AGGG SUBUNIT"
"30870","Manes.18G006830","","","catalytic activity; metabolic process",NA,"(1 of 2) K10526 - OPC-8:0 CoA ligase 1 (OPCL1)","GO:0003824 GO:0008152","","K10526","PF00501 PF13193","PTHR24096 PTHR24096:SF186","OPC-8:0 CoA ligase1"
"30871","Manes.18G006885","","","response to auxin",NA,"(1 of 2) PTHR31374:SF47 - F5M15.19","GO:0009733","","","PF02519","PTHR31374 PTHR31374:SF47","SAUR-like auxin-responsive protein family"
"30872","Manes.18G006940","","","response to auxin",NA,"(1 of 12) PTHR31175 - AUXIN-RESPONSIVE FAMILY PROTEIN","GO:0009733","","","PF02519","PTHR31175",""
"30873","Manes.18G007160","","","",NA,"(1 of 2) PTHR22950//PTHR22950:SF267 - AMINO ACID TRANSPORTER // SUBFAMILY NOT NAMED","","KOG1303","","PF01490","PTHR22950 PTHR22950:SF267",""
"30874","Manes.18G007200","","","",NA,"","","","","","PTHR34936 PTHR34936:SF1",""
"30875","Manes.18G007380","PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389","pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation","zinc ion binding; oxidoreductase activity","carb","(1 of 1) PTHR11695//PTHR11695:SF490 - ALCOHOL DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED","GO:0008270 GO:0016491 GO:0055114","","K00121","PF00107 PF08240","PTHR11695 PTHR11695:SF490","Zinc-binding alcohol dehydrogenase family protein"
"30876","Manes.18G007490","","","copper ion binding; oxidoreductase activity",NA,"(1 of 2) PTHR11709//PTHR11709:SF90 - MULTI-COPPER OXIDASE // MULTI-COPPER OXIDASE TYPE I FAMILY PROTEIN-RELATED","GO:0005507 GO:0016491 GO:0055114","","","PF00394 PF07731 PF07732","PTHR11709 PTHR11709:SF90","SKU5 similar 5"
"30877","Manes.18G007600","","","ATP binding; cytoplasm; protein folding; protein refolding; unfolded protein binding",NA,"(1 of 2) K09494 - T-complex protein 1 subunit beta (CCT2)","GO:0005524 GO:0005737 GO:0006457 GO:0042026 GO:0051082","","K09494","PF00118","PTHR11353 PTHR11353:SF23","TCP-1/cpn60 chaperonin family protein"
"30878","Manes.18G007700","PWY-7601; PWY-6433; PWY-5138; PWY-7606; PWY-5080; PWY-7036; PWY-6598; PWY-7726","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes); hydroxylated fatty acid biosynthesis (plants); unsaturated, even numbered fatty acid &beta;-oxidation; docosahexaenoate biosynthesis III (6-desaturase, mammals); very long chain fatty acid biosynthesis I; very long chain fatty acid biosynthesis II; sciadonate biosynthesis; (4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis (6-desaturase)","",NA,"(1 of 4) 4.2.1.119 - Enoyl-CoA hydratase 2 / ECH2","","KOG1206","","PF01575","PTHR13078","enoyl-CoA hydratase 2"
"30879","Manes.18G007801","","","",NA,"(1 of 1) K07583 - tRNA pseudouridine synthase 10 [EC:5.4.99.-] (PUS10)","","KOG2364","K07583","","PTHR21568","Pseudouridine synthase family protein"
"30880","Manes.18G007901","","","serine-type endopeptidase activity; proteolysis; serine-type peptidase activity; serine-type exopeptidase activity",NA,"(1 of 2) K01322 - prolyl oligopeptidase [EC:3.4.21.26] (E3.4.21.26; PREP)","GO:0004252 GO:0006508 GO:0008236 GO:0070008","","K01322","PF00326 PF02897","PTHR11757 PTHR11757:SF8","Prolyl oligopeptidase family protein"
"30881","Manes.18G008001","","","",NA,"(1 of 2) PTHR33101//PTHR33101:SF6 - FAMILY NOT NAMED // ROP GUANINE NUCLEOTIDE EXCHANGE FACTOR 1","GO:0005089","","","PF03759","PTHR33101 PTHR33101:SF6",""
"30882","Manes.18G008101","","","",NA,"","","","","","",""
"30883","Manes.18G008200","","","",NA,"(1 of 207) PF01535//PF13041 - PPR repeat (PPR) // PPR repeat family (PPR_2)","","","","PF01535 PF13041","PTHR24015 PTHR24015:SF47","Tetratricopeptide repeat (TPR)-like superfamily protein"
"30884","Manes.18G008300","PWY-6019","pseudouridine degradation","pseudouridine synthesis; RNA binding; RNA modification; pseudouridine synthase activity",NA,"(1 of 1) 4.2.1.70//5.4.99.12 - Pseudouridylate synthase / Uracil hydrolyase // tRNA pseudouridine(38-40) synthase / tRNA pseudouridylate synthase I","GO:0001522 GO:0003723 GO:0009451 GO:0009982","KOG2553","K06173","PF01416","PTHR11142 PTHR11142:SF4","Pseudouridine synthase family protein"
"30885","Manes.18G008400","","","",NA,"(1 of 4) PTHR11102//PTHR11102:SF101 - SEL-1-LIKE PROTEIN // SUBFAMILY NOT NAMED","","","","PF03478","PTHR11102 PTHR11102:SF101","F-box family protein with a domain of unknown function (DUF295)"
"30886","Manes.18G008500","","","DNA binding",NA,"(1 of 3) PTHR13711//PTHR13711:SF202 - SWI/SNF-RELATED CHROMATIN BINDING PROTEIN // HIGH MOBILITY GROUP B PROTEIN 10-RELATED","GO:0003677","KOG0381","","PF00505 PF01388","PTHR13711 PTHR13711:SF202","HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain"
"30887","Manes.18G008600","PWY-6842","glutathione-mediated detoxification II","protein binding",NA,"(1 of 5) PTHR11260//PTHR11260:SF287 - GLUTATHIONE S-TRANSFERASE; GST; SUPERFAMILY; GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED","GO:0005515","KOG0867","K00799","PF00043 PF02798","PTHR11260 PTHR11260:SF287",""
"30888","Manes.18G008800","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation; metabolic process; amino acid binding",NA,"(1 of 1) PTHR23257//PTHR23257:SF347 - SERINE-THREONINE PROTEIN KINASE // SERINE/THREONINE-PROTEIN KINASE KINX-RELATED","GO:0004672 GO:0004713 GO:0005524 GO:0006468 GO:0008152 GO:0016597","KOG0192","","PF07714","PTHR23257 PTHR23257:SF347",""
"30889","Manes.18G008900","POLYAMINSYN3-PWY; PWY-46","superpathway of polyamine biosynthesis II; putrescine biosynthesis III","catalytic activity; polyamine biosynthetic process",NA,"(1 of 1) PTHR11482:SF6 - ORNITHINE DECARBOXYLASE 1-RELATED","GO:0003824 GO:0006596","KOG0622","K01581","PF00278 PF02784","PTHR11482 PTHR11482:SF6",""
"30890","Manes.18G009000","PWY-7039; LIPASYN-PWY; PWY-3561","phosphatidate metabolism, as a signaling molecule; phospholipases; choline biosynthesis III","catalytic activity; phospholipase D activity; calcium ion binding; protein binding; membrane; phosphatidylcholine metabolic process",NA,"(1 of 2) PTHR18896//PTHR18896:SF72 - PHOSPHOLIPASE D // SUBFAMILY NOT NAMED","GO:0003824 GO:0004630 GO:0005509 GO:0005515 GO:0016020 GO:0046470","","K01115","PF00168 PF00614 PF12357","PTHR18896 PTHR18896:SF72",""
"30891","Manes.18G009100","","","transmembrane transport",NA,"(1 of 3) PTHR23504//PTHR23504:SF36 - FAMILY NOT NAMED // MAJOR FACILITATOR PROTEIN","GO:0016021 GO:0055085","KOG2816","","PF07690","PTHR23504 PTHR23504:SF36","Major facilitator superfamily protein"
"30892","Manes.18G009200","PWY-2541","plant sterol biosynthesis","steroid biosynthetic process; metabolic process; methyltransferase activity",NA,"(1 of 3) 2.1.1.142//2.1.1.143 - Cycloartenol 24-C-methyltransferase / Sterol C-methyltransferase // 24-methylenesterol C-methyltransferase / SMT(2)","GO:0006694 GO:0008152 GO:0008168","KOG1269","K08242","PF08241 PF08498","PTHR10108 PTHR10108:SF858","sterol methyltransferase 2"
"30893","Manes.18G009300","","","",NA,"","","","","","PTHR34779 PTHR34779:SF1",""
"30894","Manes.18G009400","","","iron ion binding; oxidoreductase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; L-ascorbic acid binding",NA,"(1 of 2) PTHR10869//PTHR10869:SF78 - PROLYL 4-HYDROXYLASE ALPHA SUBUNIT // 2-OXOGLUTARATE (2OG) AND FE(II)-DEPENDENT OXYGENASE SUPERFAMILY PROTEIN","GO:0005506 GO:0016491 GO:0016705 GO:0031418 GO:0055114","KOG1591","K00472","PF03171","PTHR10869 PTHR10869:SF78","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"
"30895","Manes.18G009500","","","ATP binding; proton-transporting two-sector ATPase complex, catalytic domain; proton-transporting V-type ATPase, V1 domain; ATP metabolic process",NA,"(1 of 4) K02147 - V-type H+-transporting ATPase subunit B (ATPeV1B; ATP6B)","GO:0005524 GO:0015991 GO:0015992 GO:0016820 GO:0033178 GO:0033180 GO:0046034","","K02147","PF00006 PF00306 PF02874","PTHR15184 PTHR15184:SF52","ATPase, V1 complex, subunit B protein"
"30896","Manes.18G009600","","","protein binding; zinc ion binding",NA,"(1 of 45) KOG1493 - Anaphase-promoting complex (APC); subunit 11","GO:0005515 GO:0008270","KOG1493","","PF13639","PTHR22763",""
"30897","Manes.18G009700","","","protein kinase activity; protein tyrosine kinase activity; calcium ion binding; ATP binding; protein phosphorylation",NA,"(1 of 1) PF07714//PF13499//PF14531 - Protein tyrosine kinase (Pkinase_Tyr) // EF-hand domain pair (EF-hand_7) // Kinase-like (Kinase-like)","GO:0004672 GO:0004713 GO:0005509 GO:0005524 GO:0006468","KOG0032","K13412","PF13499 PF14531","PTHR24349 PTHR24349:SF89","calcium-dependent protein kinase 29"
"30898","Manes.18G009900","","","intracellular signal transduction",NA,"(1 of 2) PTHR13871//PTHR13871:SF48 - THIOREDOXIN // SUBFAMILY NOT NAMED","GO:0035556","KOG2501","K17609","PF13905","PTHR13871 PTHR13871:SF48",""
"30899","Manes.18G010000","","","protein binding; zinc ion binding",NA,"(1 of 2) PTHR14155//PTHR14155:SF77 - RING FINGER DOMAIN-CONTAINING // E3 UBIQUITIN-PROTEIN LIGASE ATL23","GO:0005515 GO:0008270","","","PF13639","PTHR14155 PTHR14155:SF77","RING/U-box superfamily protein"
"30900","Manes.18G010102","","","nucleic acid binding",NA,"(1 of 4) PTHR13516//PTHR13516:SF9 - RIBONUCLEASE P SUBUNIT P25 // SUBFAMILY NOT NAMED","GO:0003676","KOG2567","","PF01918","PTHR13516 PTHR13516:SF9","Alba DNA/RNA-binding protein"
"30901","Manes.18G010200","","","extracellular region; plant-type cell wall organization",NA,"(1 of 2) PTHR31867:SF4 - EXPANSIN-A11","GO:0005576 GO:0009664","","","PF01357 PF03330","PTHR31867 PTHR31867:SF4","expansin 11"
"30902","Manes.18G010300","","","",NA,"(1 of 1) PTHR13651:SF0 - PROTEIN FAM206A","","KOG3266","","PF01597","PTHR13651 PTHR13651:SF0","Single hybrid motif superfamily protein"
"30903","Manes.18G010400","","","",NA,"(1 of 4) KOG3214 - Uncharacterized Zn ribbon-containing protein","","KOG3214","","PF05129","PTHR20934","(1 of 1) KOG3214 - Uncharacterized Zn ribbon-containing protein"
"30904","Manes.18G010700","","","ubiquitin-dependent protein catabolic process",NA,"(1 of 6) K03094 - S-phase kinase-associated protein 1 (SKP1; CBF3D)","GO:0006511","KOG1724","K03094","PF01466 PF03931","PTHR11165","E3 ubiquitin ligase SCF complex subunit SKP1/ASK1 family protein"
"30905","Manes.18G010800","","","",NA,"","","","","","PTHR35097 PTHR35097:SF1",""
"30906","Manes.18G010900","","","",NA,"(1 of 2) PTHR21717:SF18 - HOMEODOMAIN-LIKE PROTEIN WITH RING/FYVE/PHD-TYPE ZINC FINGER DOMAIN","","","","","PTHR21717 PTHR21717:SF18","Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain"
"30907","Manes.18G010907","","","",NA,"","","","","","PTHR34660 PTHR34660:SF1",""
"30908","Manes.18G011100","","","protein binding; electron transfer activity; protein-disulfide reductase activity; cell redox homeostasis",NA,"(1 of 2) 5.3.99.3 - Prostaglandin-E synthase / Prostaglandin-H(2) E-isomerase","GO:0005515 GO:0009055 GO:0015035 GO:0045454","KOG3029","K05309","PF13417 PF14497","PTHR12782 PTHR12782:SF8","Glutathione S-transferase family protein"
"30909","Manes.18G011107","","","ubiquitin-protein transferase activity; nucleus; protein ubiquitination; regulation of defense response",NA,"(1 of 2) PTHR10044//PTHR10044:SF113 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED","GO:0004842 GO:0005634 GO:0016567 GO:0031347","KOG1100","K19042","","PTHR10044 PTHR10044:SF113",""
"30910","Manes.18G011114","","","metal ion binding",NA,"(1 of 2) PTHR22835//PTHR22835:SF196 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED","GO:0046872","","","PF01363","PTHR22835 PTHR22835:SF196","RING/FYVE/PHD zinc finger superfamily protein"
"30911","Manes.18G011121","LIPAS-PWY","triacylglycerol degradation","hydrolase activity, acting on ester bonds",NA,"(1 of 6) PTHR22835:SF184 - GDSL ESTERASE/LIPASE EXL1-RELATED","GO:0016788","","","PF00657","PTHR22835 PTHR22835:SF184","GDSL-like Lipase/Acylhydrolase superfamily protein"
"30912","Manes.18G011260","","","RNA binding; nucleus; RNA processing",NA,"(1 of 3) K18757 - la-related protein 1 (LARP1)","GO:0003723 GO:0005634 GO:0006396 GO:0030529","KOG2590","K18757","PF05383","PTHR22792 PTHR22792:SF66",""
"30913","Manes.18G011500","","","protein kinase activity; protein tyrosine kinase activity; ATP binding; protein phosphorylation",NA,"(1 of 26) K04730 - interleukin-1 receptor-associated kinase 1 (IRAK1)","GO:0004672 GO:0004713 GO:0005524 GO:0006468","KOG1187","K04730","PF00069","PTHR27001 PTHR27001:SF223",""
"30914","Manes.18G011700","","","protein transport; retromer complex; retrograde transport, endosome to Golgi",NA,"(1 of 3) K18468 - vacuolar protein sorting-associated protein 35 (VPS35)","GO:0008565 GO:0015031 GO:0030904 GO:0042147","","K18468","PF03635","PTHR11099 PTHR11099:SF1","VPS35 homolog B"
"30915","Manes.18G011800","","","GTP binding; intracellular anatomical structure; signal transduction; small GTPase-mediated signal transduction; protein transport; membrane",NA,"(1 of 6) PTHR24072//PTHR24072:SF171 - RHO FAMILY GTPASE // RAC-LIKE GTP-BINDING PROTEIN ARAC4-RELATED","GO:0005525 GO:0005622 GO:0007165 GO:0007264 GO:0015031 GO:0016020","KOG0393","K04392","PF08477","PTHR24072 PTHR24072:SF171",""
"30916","Manes.18G011966","","","",NA,"","","","","","PTHR33670 PTHR33670:SF2",""
"30917","Manes.18G012000","","","microtubule motor activity; ATP binding; kinesin complex; microtubule-based movement; microtubule binding",NA,"(1 of 1) PTHR24115//PTHR24115:SF480 - FAMILY NOT NAMED // ATP BINDING MICROTUBULE MOTOR FAMILY PROTEIN","GO:0003777 GO:0005524 GO:0005871 GO:0007018 GO:0008017","KOG0247","K10401","PF00225","PTHR24115 PTHR24115:SF480","ATP binding microtubule motor family protein"
"30918","Manes.18G012100","","","DNA binding; nucleus; DNA-templated transcription",NA,"(1 of 2) PTHR15141//PTHR15141:SF48 - TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 3 // SUBFAMILY NOT NAMED","GO:0003677 GO:0005634 GO:0006351","","","PF08711","PTHR15141 PTHR15141:SF48","Transcription elongation factor (TFIIS) family protein"
"30919","Manes.18G012121","","","",NA,"(1 of 2) PTHR22952//PTHR22952:SF171 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED","","","","","PTHR22952 PTHR22952:SF171",""
"30920","Manes.18G012160","","","serine-type endopeptidase activity; proteolysis",NA,"(1 of 1) PTHR10795//PTHR10795:SF328 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SUBFAMILY NOT NAMED","GO:0004252 GO:0006508","","","PF00082 PF02225 PF05922","PTHR10795 PTHR10795:SF328","Subtilisin-like serine endopeptidase family protein"
"30921","Manes.18G012200","","","ATP binding; protein folding; response to stress; unfolded protein binding",NA,"(1 of 2) PTHR11528:SF45 - ENDOPLASMIN HOMOLOG","GO:0005524 GO:0006457 GO:0006950 GO:0051082","","K09487","PF00183 PF02518","PTHR11528 PTHR11528:SF45","Chaperone protein htpG family protein"
"30922","Manes.18G012300","","","nucleic acid binding; ATP binding",NA,"(1 of 1) K13181 - ATP-dependent RNA helicase DDX27 [EC:3.6.4.13] (DDX27; DRS1)","GO:0003676 GO:0005524","","K13181","PF00270 PF00271","PTHR24031 PTHR24031:SF277","DEA(D/H)-box RNA helicase family protein"
"30923","Manes.18G012400","","","",NA,"","","","","","PTHR37714",""
"30924","Manes.18G012500","","","ATP binding; protein folding; response to stress; unfolded protein binding",NA,"(1 of 2) PTHR11528:SF45 - ENDOPLASMIN HOMOLOG","GO:0005524 GO:0006457 GO:0006950 GO:0051082","","K09487","PF00183 PF02518","PTHR11528 PTHR11528:SF45","Chaperone protein htpG family protein"
"30925","Manes.18G012600","","","",NA,"(1 of 36) PF00314 - Thaumatin family (Thaumatin)","","","","PF00314","PTHR31048 PTHR31048:SF29",""
"30926","Manes.18G012700","","","",NA,"(1 of 2) PTHR31048//PTHR31048:SF27 - FAMILY NOT NAMED // PATHOGENESIS-RELATED THAUMATIN FAMILY PROTEIN-RELATED","","","","PF00314","PTHR31048 PTHR31048:SF27","Pathogenesis-related thaumatin superfamily protein"
"30927","Manes.18G012800","PHOTOALL-PWY; PWY-101","oxygenic photosynthesis; photosynthesis light reactions","oxidoreductase activity",NA,"(1 of 3) 1.18.1.2//1.6.99.1 - Ferredoxin--NADP(+) reductase // NADPH dehydrogenase / NADPH diaphorase","GO:0016491 GO:0055114","","K02641","PF00175","PTHR19384 PTHR19384:SF82","ferredoxin-NADP(+)-oxidoreductase 1"
"30928","Manes.18G012901","","","",NA,"(1 of 115) PF00226 - DnaJ domain (DnaJ)","","","","PF00226","PTHR24078",""
"30929","Manes.18G013000","","","copper ion binding; oxidoreductase activity",NA,"(1 of 1) PTHR11709:SF65 - MULTI-COPPER OXIDASE TYPE I FAMILY PROTEIN","GO:0005507 GO:0016491 GO:0055114","KOG1263","","PF00394 PF07731 PF07732","PTHR11709 PTHR11709:SF65","SKU5  similar 18"
"30930","Manes.18G013100","","","",NA,"(1 of 12) PF11961 - Domain of unknown function (DUF3475) (DUF3475)","","","","PF05003 PF11961","PTHR31730 PTHR31730:SF5","Protein of unknown function (DUF668)"
