Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
MEPCT,Nucleotide-diphospho-sugar transferases superfamily protein,carot,turquoise,86,(1 of 2) 2.7.7.60 - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / MEP cytidylyltransferase,Manes.14G146200.v8.1,gene,GO:0008299 GO:0050518,isoprenoid biosynthetic process; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity,K00991,,,Manes.14G146200,PTHR32125 PTHR32125:SF4,PWY-7560,methylerythritol phosphate pathway II,PF12804,TRUE,Manes.14G146200
,Lactate/malate dehydrogenase family protein,carb,turquoise,55,(1 of 6) K00026 - malate dehydrogenase (MDH2),Manes.15G091900.v8.1,gene,GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.15G091900,PTHR11540,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF01073 PF02866,FALSE,Manes.15G091900
,sucrose synthase 4,carb,black,48,(1 of 2) PTHR12526:SF391 - SUCROSE SYNTHASE 1-RELATED,Manes.16G090600.v8.1,gene,GO:0005985 GO:0016157,sucrose metabolic process; sucrose synthase activity,K00695,,,Manes.16G090600,PTHR12526 PTHR12526:SF391,PWY-3801,sucrose degradation II (sucrose synthase),PF00534 PF00862,FALSE,Manes.16G090600
,glyceraldehyde-3-phosphate dehydrogenase B subunit,carb,blue,93,(1 of 4) 1.2.1.12//1.2.1.13 - Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) / Triosephosphate dehydrogenase // Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) / Triosephosphate dehydrogenase (NADP+),Manes.18G003300.v8.1,gene,GO:0006006 GO:0016620 GO:0050661 GO:0051287 GO:0055114,"glucose metabolic process; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; NADP binding; NAD binding",K05298,KOG0657,,Manes.18G003300,PTHR10836 PTHR10836:SF39,PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00044 PF02672 PF02800,FALSE,Manes.18G003300
,phosphoenolpyruvate carboxykinase 1,carb,green,69,(1 of 3) 4.1.1.32 - Phosphoenolpyruvate carboxykinase (GTP) / Phosphopyruvate carboxylase,Manes.18G054615.v8.1,gene,GO:0004612 GO:0005524 GO:0006094,phosphoenolpyruvate carboxykinase (ATP) activity; ATP binding; gluconeogenesis,K01610,,,Manes.18G054615,PTHR30031 PTHR30031:SF4,PWY66-399; PWY-7117; GLUCONEO-PWY; PWY-561,"gluconeogenesis III; C4 photosynthetic carbon assimilation cycle, PEPCK type; gluconeogenesis I; superpathway of glyoxylate cycle and fatty acid degradation",PF01293,FALSE,Manes.18G054615
Phytoene,NA,carot,purple,78,NA,Phytoene,metabolite,NA,NA,NA,NA,Phytoene,Phytoene,NA,NA,NA,NA,TRUE,Phytoene
Phytofluene,NA,carot,purple,82,NA,Phytofluene,metabolite,NA,NA,NA,NA,Phytofluene,Phytofluene,NA,NA,NA,NA,TRUE,Phytofluene
,NA,carot,blue,79,NA,percent_ciscarotenes,metabolite,NA,NA,NA,NA,percent_ciscarotenes,percent_ciscarotenes,NA,NA,NA,NA,FALSE,percent_ciscarotene
,triosephosphate isomerase,carb,darkred,72,(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase,Manes.01G173500.v8.1,gene,GO:0004807 GO:0008152,triose-phosphate isomerase activity; metabolic process,K01803,KOG1643,,Manes.01G173500,PTHR21139 PTHR21139:SF6,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00121,FALSE,Manes.01G173500
,Sugar isomerase (SIS) family protein,carb,darkred,37,(1 of 2) PTHR11469:SF1 - GLUCOSE-6-PHOSPHATE ISOMERASE; CYTOSOLIC,Manes.05G160800.v8.1,gene,GO:0004347 GO:0006094 GO:0006096,glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process,K01810,,,Manes.05G160800,PTHR11469 PTHR11469:SF1,PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY,gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation,PF00342,FALSE,Manes.05G160800
,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein,carb,cyan,20,(1 of 2) PTHR18968:SF137 - PYRUVATE DECARBOXYLASE 2,Manes.08G094400.v8.1,gene,GO:0000287 GO:0003824 GO:0016831 GO:0030976,magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding,K01568,,,Manes.08G094400,PTHR18968 PTHR18968:SF137,PWY-5486; PWY-6330,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II,PF00205 PF02775 PF02776,FALSE,Manes.08G094400
,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein,carb,darkturquoise,58,(1 of 2) PTHR18968:SF137 - PYRUVATE DECARBOXYLASE 2,Manes.09G106300.v8.1,gene,GO:0000287 GO:0003824 GO:0016831 GO:0030976,magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding,K01568,,,Manes.09G106300,PTHR18968 PTHR18968:SF137,PWY-5486; PWY-6330,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II,PF00205 PF02775 PF02776,FALSE,Manes.09G106300
,phosphofructokinase 3,carb,grey,24,(1 of 4) PTHR13697:SF7 - 6-PHOSPHOFRUCTOKINASE 1-RELATED,Manes.16G106600.v8.1,gene,GO:0003872 GO:0006002 GO:0006096,6-phosphofructokinase activity; fructose 6-phosphate metabolic process; glycolytic process,K00850,,,Manes.16G106600,PTHR13697 PTHR13697:SF7,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.16G106600
,,carb,grey,47,(1 of 2) PTHR18968//PTHR18968:SF132 - THIAMINE PYROPHOSPHATE ENZYMES // SUBFAMILY NOT NAMED,Manes.17G053600.v8.1,gene,GO:0000287 GO:0003824 GO:0016831 GO:0030976,magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding,K01568,,,Manes.17G053600,PTHR18968 PTHR18968:SF132,PWY-5486; PWY-6330,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II,PF00205 PF02775 PF02776,FALSE,Manes.17G053600
,Phosphofructokinase family protein,carb,grey,33,(1 of 3) K00895 - pyrophosphate--fructose-6-phosphate 1-phosphotransferase (E2.7.1.90; pfk),Manes.18G001100.v8.1,gene,GO:0003872 GO:0005524 GO:0006096 GO:0047334,6-phosphofructokinase activity; ATP binding; glycolytic process; diphosphate-fructose-6-phosphate 1-phosphotransferase activity,K00895,,,Manes.18G001100,PTHR13697 PTHR13697:SF1,PWY-5464; PWY-1042,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol)",PF00365,FALSE,Manes.18G001100
,isocitrate dehydrogenase 1,carb,red,75,(1 of 2) PTHR11835//PTHR11835:SF51 - DECARBOXYLATING DEHYDROGENASES-ISOCITRATE; ISOPROPYLMALATE; TARTRATE // ISOCITRATE DEHYDROGENASE [NAD] REGULATORY SUBUNIT 2; MITOCHONDRIAL-RELATED,Manes.01G153600.v8.1,gene,GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114,"magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding",K00030,,,Manes.01G153600,PTHR11835 PTHR11835:SF51,PWY-5464; PWY-5690; PWY-6549,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III",PF00180,FALSE,Manes.01G153600
CMK,4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase,carot,lightgreen,67,(1 of 2) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase / CMK,Manes.01G176400.v8.1,gene,GO:0005524 GO:0016114 GO:0050515,ATP binding; terpenoid biosynthetic process; 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,K00919,,,Manes.01G176400,PTHR20861 PTHR20861:SF2,PWY-7560,methylerythritol phosphate pathway II,PF00288 PF08544,TRUE,Manes.01G176400
,pfkB-like carbohydrate kinase family protein,carb,turquoise,83,(1 of 1) PTHR10584:SF184 - RIBOKINASE,Manes.01G200300.v8.1,gene,,,,KOG2855,,Manes.01G200300,PTHR10584 PTHR10584:SF184,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.01G200300
,sucrose synthase 3,carb,green,66,(1 of 1) PF00862//PF13524 - Sucrose synthase (Sucrose_synth) // Glycosyl transferases group 1 (Glyco_trans_1_2),Manes.01G221900.v8.1,gene,GO:0005985 GO:0016157,sucrose metabolic process; sucrose synthase activity,,,,Manes.01G221900,PTHR12526 PTHR12526:SF348,PWY-3801,sucrose degradation II (sucrose synthase),PF00862 PF13524,FALSE,Manes.01G221900
,,carb,blue,75,(1 of 1) PTHR10584//PTHR10584:SF192 - SUGAR KINASE // FRUCTOKINASE 1,Manes.01G263700.v8.1,gene,,,,KOG2855,,Manes.01G263700,PTHR10584 PTHR10584:SF192,PWY-4101; PWY-3801; PWY-621,D-sorbitol degradation I; sucrose degradation II (sucrose synthase); sucrose degradation III (sucrose invertase),PF00294,FALSE,Manes.01G263700
MECDPS,isoprenoid F,carot,tan,50,(1 of 1) 4.6.1.12 - 2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase / MECDP-synthase,Manes.02G017610.v8.1,gene,GO:0008685 GO:0016114,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity; terpenoid biosynthetic process",K01770,,,Manes.02G017610,PTHR32125,PWY-7560,methylerythritol phosphate pathway II,PF02542,TRUE,Manes.02G017610
HMG-CoA S,hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase,carot,turquoise,72,(1 of 2) 2.3.3.10 - Hydroxymethylglutaryl-CoA synthase / Hydroxymethylglutaryl coenzyme alpha-condensing enzyme,Manes.02G030900.v8.1,gene,GO:0004421 GO:0008299,hydroxymethylglutaryl-CoA synthase activity; isoprenoid biosynthetic process,K01641,,,Manes.02G030900,PTHR11877 PTHR11877:SF20,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF01154 PF08540,TRUE,Manes.02G030900
NDUFAF6,Terpenoid synthases superfamily protein,carot,grey,36,(1 of 1) K18163 - NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 6 (NDUFAF6),Manes.02G035200.v8.1,gene,GO:0009058 GO:0016740,biosynthetic process; transferase activity,K18163,KOG4411,,Manes.02G035200,PTHR21181 PTHR21181:SF13,CAROTENOID-PWY; PWY-6475;,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants);,PF00494,TRUE,Manes.02G035200
,Lactate/malate dehydrogenase family protein,carb,turquoise,79,(1 of 2) 1.1.1.27 - L-lactate dehydrogenase / L-lactic dehydrogenase,Manes.02G038200.v8.1,gene,GO:0004459 GO:0005737 GO:0016491 GO:0016616 GO:0019752 GO:0055114,"L-lactate dehydrogenase activity; cytoplasm; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process",K00016,,,Manes.02G038200,PTHR11540 PTHR11540:SF3,PWY-5481; ANAEROFRUCAT-PWY,pyruvate fermentation to lactate; homolactic fermentation,PF00056 PF02866,FALSE,Manes.02G038200
,"Glycosyl transferase, family 35",carb,black,41,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052520.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052520,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052520
NSY,abscisic acid (aba)-deficient 4,carot,turquoise,99,(1 of 2) 5.3.99.9 - Neoxanthin synthase / NSY,Manes.02G068600.v8.1,gene,,,,,,Manes.02G068600,PTHR34543 PTHR34543:SF1,PWY-6809; PWY-695,neoxanthin biosynthesis; abscisic acid biosynthesis,PF14108,TRUE,Manes.02G068600
,citrate synthase 2,carb,turquoise,124,(1 of 4) 2.3.3.1//2.3.3.16 - Citrate (Si)-synthase / Citrate oxaloacetate-lyase ((pro-3S)-CH(2)COO->acetyl-CoA) // Citrate synthase (unknown stereospecificity) / Oxaloacetate transacetase,Manes.02G086900.v8.1,gene,GO:0046912,"acyltransferase activity, acyl groups converted into alkyl on transfer",K01647,,,Manes.02G086900,PTHR11739 PTHR11739:SF4,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00285,FALSE,Manes.02G086900
,fructose-bisphosphate aldolase 2,carb,blue,55,(1 of 3) PTHR11627//PTHR11627:SF15 - FRUCTOSE-BISPHOSPHATE ALDOLASE // FRUCTOSE-BISPHOSPHATE ALDOLASE 2; CHLOROPLASTIC-RELATED,Manes.02G101600.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.02G101600,PTHR11627 PTHR11627:SF15,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.02G101600
,isocitrate dehydrogenase 1,carb,turquoise,40,(1 of 4) 1.1.1.41 - Isocitrate dehydrogenase (NAD(+)) / Nicotinamide adenine dinucleotide isocitrate dehydrogenase,Manes.02G112500.v8.1,gene,GO:0000287 GO:0004449 GO:0006099 GO:0016616 GO:0051287 GO:0055114,"magnesium ion binding; isocitrate dehydrogenase (NAD+) activity; tricarboxylic acid cycle; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding",K00030,,,Manes.02G112500,PTHR11835 PTHR11835:SF51,PWY-5464; PWY-5690; PWY-6549,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III",PF00180,FALSE,Manes.02G112500
,triosephosphate isomerase,carb,pink,107,(1 of 5) 5.3.1.1 - Triose-phosphate isomerase / Triosephosphate mutase,Manes.02G132800.v8.1,gene,GO:0004807 GO:0008152,triose-phosphate isomerase activity; metabolic process,K01803,KOG1643,,Manes.02G132800,PTHR21139 PTHR21139:SF6,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00121,FALSE,Manes.02G132800
CMK,4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase,carot,brown,87,(1 of 2) 2.7.1.148 - 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase / CMK,Manes.02G134400.v8.1,gene,GO:0005524 GO:0016114 GO:0050515,ATP binding; terpenoid biosynthetic process; 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,K00919,,,Manes.02G134400,PTHR20861 PTHR20861:SF2,PWY-7560,methylerythritol phosphate pathway II,PF00288,TRUE,Manes.02G134400
,phosphoglucose isomerase 1,carb,royalblue,68,(1 of 2) PTHR11469:SF9 - GLUCOSE-6-PHOSPHATE ISOMERASE 1; CHLOROPLASTIC,Manes.02G146400.v8.1,gene,GO:0004347 GO:0006094 GO:0006096,glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process,K01810,,,Manes.02G146400,PTHR11469 PTHR11469:SF9,PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY,gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation,PF00342,FALSE,Manes.02G146400
,Phosphoglycerate mutase family protein,carb,darkgreen,68,(1 of 2) K01834 - 2;3-bisphosphoglycerate-dependent phosphoglycerate mutase (PGAM; gpmA),Manes.02G154900.v8.1,gene,GO:0004619 GO:0006096 GO:0016868,phosphoglycerate mutase activity; glycolytic process; intramolecular phosphotransferase activity,K01834,KOG0235,,Manes.02G154900,PTHR11931 PTHR11931:SF6,PWY66-399; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,gluconeogenesis III; glycolysis III (from glucose); homolactic fermentation,PF00300,FALSE,Manes.02G154900
DXS,1-deoxy-D-xylulose 5-phosphate synthase 3,carot,turquoise,84,(1 of 1) KOG0523 - Transketolase,Manes.03G017900.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.03G017900,PTHR11624 PTHR11624:SF64,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,TRUE,Manes.03G017900
NCED3,nine-cis-epoxycarotenoid dioxygenase 3,carot,magenta,44,(1 of 6) K09840 - 9-cis-epoxycarotenoid dioxygenase (NCED),Manes.03G083500.v8.1,gene,,,K09840,,,Manes.03G083500,PTHR10543 PTHR10543:SF26,PWY-695,abscisic acid biosynthesis,PF03055,TRUE,Manes.03G083500
,Alpha amylase family protein,carb,turquoise,83,(1 of 2) PTHR10357:SF119 - 1;4-ALPHA-GLUCAN-BRANCHING ENZYME 3; CHLOROPLASTIC/AMYLOPLASTIC,Manes.03G133300.v8.1,gene,GO:0003824 GO:0003844 GO:0004553 GO:0005975 GO:0005978 GO:0043169,"catalytic activity; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; glycogen biosynthetic process; cation binding",K00700,,,Manes.03G133300,PTHR10357 PTHR10357:SF119,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00128 PF02806 PF02922,FALSE,Manes.03G133300
,Pyruvate kinase family protein,carb,pink,61,(1 of 2) PTHR11817:SF14 - PLASTIDIAL PYRUVATE KINASE 1; CHLOROPLASTIC,Manes.03G171200.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,KOG2323,,Manes.03G171200,PTHR11817 PTHR11817:SF14,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.03G171200
,Pyruvate kinase family protein,carb,lightgreen,120,(1 of 3) PTHR11817:SF5 - PYRUVATE KINASE-RELATED,Manes.04G160400.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.04G160400,PTHR11817 PTHR11817:SF5,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.04G160400
,beta-amylase 7,carb,tan,38,(1 of 1) PTHR31352:SF2 - BETA-AMYLASE 7,Manes.05G034900.v8.1,gene,GO:0000272 GO:0016161,polysaccharide catabolic process; beta-amylase activity,,,,Manes.05G034900,PTHR31352 PTHR31352:SF2,PWY-6724,starch degradation II,PF01373 PF05687,FALSE,Manes.05G034900
,,carb,green,58,(1 of 1) PTHR11468//PTHR11468:SF14 - GLYCOGEN PHOSPHORYLASE // SUBFAMILY NOT NAMED,Manes.05G108500.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.05G108500,PTHR11468 PTHR11468:SF14,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.05G108500
,hydroxy methylglutaryl CoA reductase 1,carot,cyan,43,(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase,Manes.05G128600.v8.1,gene,GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114,hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding,K00021,,,Manes.05G128600,PTHR10572 PTHR10572:SF9,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00368,FALSE,Manes.05G128600
,,carb,yellow,31,(1 of 14) 3.2.1.26 - Beta-fructofuranosidase / Saccharase,Manes.05G147500.v8.1,gene,GO:0033926,endo-alpha-N-acetylgalactosaminidase activity,,,,Manes.05G147500,PTHR31916 PTHR31916:SF13,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF12899,FALSE,Manes.05G147500
,"phosphoglucan, water dikinase",carb,turquoise,83,(1 of 2) 2.7.9.4 - Alpha-glucan; water dikinase / Starch-related R1 protein,Manes.05G189000.v8.1,gene,GO:0005524 GO:0016301 GO:0016310,ATP binding; kinase activity; phosphorylation,K08244,,,Manes.05G189000,PTHR22931 PTHR22931:SF26,PWY-6724,starch degradation II,PF01326,FALSE,Manes.05G189000
,,carot,turquoise,47,(1 of 2) PTHR11624//PTHR11624:SF84 - DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED,Manes.06G028100.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.06G028100,PTHR11624 PTHR11624:SF84,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,FALSE,Manes.06G028100
,isoamylase 1,carb,salmon,54,(1 of 1) PTHR10357:SF169 - ISOAMYLASE 1; CHLOROPLASTIC,Manes.06G054000.v8.1,gene,GO:0003824 GO:0004553 GO:0005975 GO:0043169,"catalytic activity; hydrolase activity, hydrolyzing O-glycosyl compounds; carbohydrate metabolic process; cation binding",K01214,,,Manes.06G054000,PTHR10357 PTHR10357:SF169,PWY-6724; PWY-622,starch degradation II; starch biosynthesis,PF00128 PF02922,FALSE,Manes.06G054000
,(1 of 13) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,carb,darkred,98,(1 of 9) 1.3.5.1 - Succinate dehydrogenase (quinone) / Succinic dehydrogenase,Manes.06G101600.v8.1,gene,,,,,,Manes.06G101600,PTHR36041,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",,FALSE,Manes.06G101600
,Aldolase superfamily protein,carb,lightgreen,114,(1 of 1) PTHR11627//PTHR11627:SF21 - FRUCTOSE-BISPHOSPHATE ALDOLASE // SUBFAMILY NOT NAMED,Manes.07G000100.v8.1,gene,GO:0004332 GO:0006096,fructose-bisphosphate aldolase activity; glycolytic process,K01623,,,Manes.07G000100,PTHR11627 PTHR11627:SF21,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00274,FALSE,Manes.07G000100
